Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'decode_1_start'.
Using operations until 'decode_1_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                        Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 11664    0.0 %         TilizeWithValPaddingDeviceOperation                 15         3 μs                    1                                                     INT32 => INT32
 12828    0.3 %   SLOW  MatmulDeviceOperation 32 x 896 x 2304               20        18 μs     15,714 μs     72  124 GB/s  24.3 %   7.2 TFLOPs    3.6 %  HiFi2 BF16 x BFP8 => BF16
 12857    1.4 %         AllGatherDeviceOperation                             0        59 μs     79,086 μs     12                                                       BF16 => BF16
 12899    0.3 %         FastReduceNCDeviceOperation                         17         5 μs     14,720 μs     72                                                       BF16 => BF16
 12916    0.1 %         SliceDeviceOperation                                12         1 μs      4,945 μs     18                                                       BF16 => BF16
 12944    0.0 %         SliceDeviceOperation                                 7         1 μs      2,368 μs     48                                                       BF16 => BF16
 12988    0.0 %         SliceDeviceOperation                                20         1 μs      1,727 μs      4                                                       BF16 => BF16
 13016    0.0 %         TypecastDeviceOperation                             31         1 μs      1,903 μs      4                                                       BF16 => FP32
 13033    0.1 %         ReshapeViewDeviceOperation                          11         7 μs      3,204 μs    120                                                       FP32 => FP32
 13084    0.2 %         LayerNormDeviceOperation                            20         9 μs     14,427 μs     32                                                 FP32, BF16 => FP32
 13112    0.7 %         TypecastDeviceOperation                             31         3 μs     39,178 μs    120                                                       FP32 => BF16
 13128    0.0 %         SliceDeviceOperation                                 3         2 μs      2,433 μs     64                                                       BF16 => BF16
 13165    0.1 %         ReshapeViewDeviceOperation                           4         2 μs      7,647 μs     32                                                       BF16 => BF16
 13196    0.1 %         TransposeDeviceOperation                             8         1 μs      8,206 μs    120                                                       BF16 => BF16
 13240    0.1 %         ReshapeViewDeviceOperation                          31        52 μs      7,165 μs      2                                                       BF16 => BF16
 13269    0.2 %         BinaryNgDeviceOperation                             28         2 μs     13,406 μs    120                                               INT32, INT32 => FP32
 13299    0.0 %         TypecastDeviceOperation                             13         1 μs      1,524 μs      1                                                       BF16 => FP32
 13336    0.0 %         TilizeWithValPaddingDeviceOperation                 31         3 μs        200 μs      1                                                     INT32 => INT32
 13380    0.2 %         TypecastDeviceOperation                             16         1 μs     10,965 μs      1                                                      INT32 => FP32
 13405    0.2 %         TernaryDeviceOperation                              24         2 μs     14,062 μs    120                                                 FP32, FP32 => FP32
 13444    0.7 %         TypecastDeviceOperation                             16         1 μs     39,035 μs      1                                                     FP32 => UINT32
 13470    0.0 %         UntilizeWithUnpaddingDeviceOperation                25         1 μs      1,881 μs      1                                                   UINT32 => UINT32
 13485    0.1 %         UntilizeDeviceOperation                              4        18 μs      3,653 μs    103                                                       BF16 => BF16
 13515    0.1 %         EmbeddingsDeviceOperation                            9         1 μs      6,791 μs      1                                               UINT32, BF16 => BF16
 13560    0.2 %         TilizeWithValPaddingDeviceOperation                 31         3 μs     10,738 μs      1                                                       BF16 => BF16
 13598    0.0 %         UntilizeDeviceOperation                             25        18 μs      1,128 μs    103                                                       BF16 => BF16
 13611    0.0 %         EmbeddingsDeviceOperation                            9         1 μs        101 μs      1                                               UINT32, BF16 => BF16
 13664    0.0 %         TilizeWithValPaddingDeviceOperation                 27         3 μs        114 μs      1                                                       BF16 => BF16
 13694    0.2 %         UntilizeWithUnpaddingDeviceOperation                25         2 μs     11,459 μs      1                                                       BF16 => BF16
 13715    0.1 %         RepeatDeviceOperation                               13         2 μs      6,441 μs    120                                                       BF16 => BF16
 13739    0.1 %         TilizeDeviceOperation                                9         2 μs      4,942 μs      1                                                       BF16 => BF16
 13783    0.0 %         UntilizeWithUnpaddingDeviceOperation                30         1 μs      1,068 μs      1                                                       BF16 => BF16
 13806    0.0 %         RepeatDeviceOperation                                5         2 μs        124 μs    120                                                       BF16 => BF16
 13858    0.0 %         TilizeDeviceOperation                               18         2 μs        132 μs      1                                                       BF16 => BF16
 13873    0.0 %         UntilizeWithUnpaddingDeviceOperation                15         2 μs        149 μs      1                                                       BF16 => BF16
 13922    0.0 %         RepeatDeviceOperation                               18        16 μs      1,467 μs    120                                                       BF16 => BF16
 13946    0.0 %         TilizeDeviceOperation                               22         2 μs      1,943 μs     16                                                       BF16 => BF16
 13976    0.0 %         UntilizeWithUnpaddingDeviceOperation                31         1 μs        979 μs      1                                                       BF16 => BF16
 14008    0.0 %         RepeatDeviceOperation                               31        17 μs        117 μs    120                                                       BF16 => BF16
 14040    0.0 %         TilizeDeviceOperation                               31         2 μs        113 μs     16                                                       BF16 => BF16
 14070    0.2 %         RotaryEmbeddingLlamaDeviceOperation                 29         8 μs     12,809 μs    120                                                 BF16, BF16 => BF16
 14091    0.1 %         ReshapeViewDeviceOperation                           9         5 μs      7,140 μs     32                                                       BF16 => BF16
 14140    0.6 %         PermuteDeviceOperation                              20         1 μs     34,356 μs     32                                                       BF16 => BF16
 14157    0.1 %         ReshapeViewDeviceOperation                           4        15 μs      7,853 μs      2                                                       BF16 => BF16
 14209    0.0 %         SliceDeviceOperation                                19         1 μs      2,376 μs     64                                                       BF16 => BF16
 14227    0.1 %         ReshapeViewDeviceOperation                          13        19 μs      5,185 μs      2                                                       BF16 => BF16
 14270    0.0 %         ConcatDeviceOperation                               25         1 μs      1,541 μs      4                                                 BF16, BF16 => BF16
 14284    0.2 %   SLOW  MatmulDeviceOperation 32 x 128 x 128                 8         3 μs     14,407 μs      4   13 GB/s   2.5 %   0.4 TFLOPs    3.7 %  HiFi2 BF16 x BFP8 => BF16
 14335    0.2 %         ReshapeViewDeviceOperation                          26         4 μs      9,135 μs    120                                                       BF16 => BF16
 14365    0.0 %         UntilizeWithUnpaddingDeviceOperation                24         1 μs      1,735 μs      1                                                     INT32 => INT32
 14386    0.1 %         RepeatDeviceOperation                               14         1 μs      5,915 μs    120                                                     INT32 => INT32
 14424    0.1 %         TilizeWithValPaddingDeviceOperation                 31         3 μs      5,022 μs      1                                                     INT32 => INT32
 14460    0.1 %         InterleavedToShardedDeviceOperation                 20         1 μs      6,628 μs     32                                                       BF16 => BF16
 14488    0.1 %         UntilizeWithUnpaddingDeviceOperation                31         1 μs      4,746 μs      1                                                     INT32 => INT32
 14530    0.8 %         PagedUpdateCacheDeviceOperation                     18         3 μs     45,901 μs     32                                                 BF16, BF16 => BF16
 14535    0.3 %         MeshPartitionDeviceOperation                        30         1 μs     14,544 μs      6                                                       BF16 => BF16
 14585    1.2 %         AllGatherDeviceOperation                             0        42 μs     69,488 μs     12                                                       BF16 => BF16
 14616    0.8 %         LayerNormDeviceOperation                            31        25 μs     48,494 μs      1                                                 BF16, BF16 => BF16
 14657    0.3 %   SLOW  MatmulDeviceOperation 32 x 1536 x 3072              19        36 μs     17,407 μs     96  140 GB/s  27.4 %   8.5 TFLOPs    3.2 %  HiFi2 BF16 x BFP8 => BF16
 14674    0.2 %         ReshapeViewDeviceOperation                          14        32 μs      9,717 μs    120                                                       BF16 => BF16
 14724    0.1 %         SliceDeviceOperation                                16         1 μs      7,502 μs    120                                                       BF16 => BF16
 14740    0.1 %         PermuteDeviceOperation                              12        33 μs      7,900 μs    120                                                       BF16 => BF16
 14782    0.1 %         ReshapeViewDeviceOperation                          25        16 μs      7,481 μs     64                                                       BF16 => BF16
 14814    0.2 %   SLOW  MatmulDeviceOperation b={16} x 32 x 128 x 512       25        27 μs     14,101 μs     16   39 GB/s   7.6 %   2.5 TFLOPs    5.6 %  HiFi2 BF16 x BFP8 => BF16
 14822    0.8 %         TransposeDeviceOperation                             1        13 μs     45,486 μs    120                                                       BF16 => BF16
 14873    0.0 %         SliceDeviceOperation                                23         1 μs      2,092 μs     16                                                       BF16 => BF16
 14906    0.1 %         ReshapeViewDeviceOperation                          22        13 μs      3,339 μs    120                                                       BF16 => BF16
 14921    0.2 %         LayerNormDeviceOperation                            11        12 μs     13,029 μs     32                                                 BF16, BF16 => BF16
 14952    0.0 %         InterleavedToShardedDeviceOperation                  3         4 μs      2,142 μs     32                                                       BF16 => BF16
 15005    0.2 %         PagedUpdateCacheDeviceOperation                     24         8 μs     12,787 μs     32                                                 BF16, BF16 => BF16
 15017    0.0 %         SliceDeviceOperation                                11         1 μs      2,624 μs     64                                                       BF16 => BF16
 15048    0.1 %         ReshapeViewDeviceOperation                           3         5 μs      2,920 μs     32                                                       BF16 => BF16
 15097    0.2 %         RotaryEmbeddingLlamaDeviceOperation                 23         8 μs     13,976 μs    120                                                 BF16, BF16 => BF16
 15133    0.1 %         ReshapeViewDeviceOperation                          24         3 μs      6,643 μs     64                                                       BF16 => BF16
 15157    0.0 %         SliceDeviceOperation                                28         1 μs      1,531 μs      2                                                       BF16 => BF16
 15200    0.8 %         RotaryEmbeddingLlamaDeviceOperation                 27         8 μs     46,203 μs    120                                                 BF16, BF16 => BF16
 15224    0.0 %         ReshapeViewDeviceOperation                          31         3 μs      2,823 μs     64                                                       BF16 => BF16
 15238    0.0 %         InterleavedToShardedDeviceOperation                  1         1 μs      1,843 μs     32                                                       BF16 => BF16
 15282    0.2 %         PagedUpdateCacheDeviceOperation                     14         3 μs     13,200 μs     32                                                 BF16, BF16 => BF16
 15317    0.1 %         ConcatDeviceOperation                               28         7 μs      2,997 μs    120                                                 BF16, BF16 => BF16
 15342    0.0 %         ConcatDeviceOperation                                5        29 μs      2,556 μs    120                                                 BF16, BF16 => BF16
 15381    0.3 %         SdpaDecodeDeviceOperation                           28        29 μs     17,681 μs     64                                                 BF16, BF16 => BF16
 15428    0.1 %         TransposeDeviceOperation                            16         8 μs      8,573 μs    120                                                       BF16 => BF16
 15441    0.9 %   SLOW  MatmulDeviceOperation b={16} x 32 x 512 x 128       15        13 μs     53,312 μs     64   81 GB/s  15.7 %   5.2 TFLOPs    2.9 %  HiFi2 BF16 x BFP8 => BF16
 15462    0.1 %         TransposeDeviceOperation                             1         3 μs      7,080 μs    120                                                       BF16 => BF16
 15496    0.1 %         ReshapeViewDeviceOperation                           3        17 μs      4,274 μs     64                                                       BF16 => BF16
 15551    0.3 %   SLOW  MatmulDeviceOperation 32 x 2048 x 7168              26        54 μs     16,035 μs    112  281 GB/s  54.9 %  17.4 TFLOPs    5.6 %  HiFi2 BF16 x BFP8 => BF16
 15577    2.0 %         ReduceScatterDeviceOperation                         0        77 μs    117,663 μs     12                                                       BF16 => BF16
 15618    0.0 %         TypecastDeviceOperation                             18         2 μs      1,799 μs     28                                                       BF16 => FP32
 15629    0.3 %         BinaryNgDeviceOperation                              4         3 μs     15,022 μs    120                                                 FP32, FP32 => FP32
 15655    0.0 %         LayerNormPreAllGatherDeviceOperation                 0        15 μs      1,884 μs      1                                                       FP32 => FP32
 15704    0.0 %         SliceDeviceOperation                                29         1 μs        157 μs      1                                                       FP32 => FP32
 15719    0.0 %         AllBroadcastDeviceOperation                         16        81 μs        659 μs      2                                                       FP32 => FP32
 15781    0.0 %         UntilizeWithUnpaddingDeviceOperation                17        10 μs        159 μs      1                                                       FP32 => FP32
 15812    0.0 %         UntilizeWithUnpaddingDeviceOperation                18        10 μs        123 μs      1                                                       FP32 => FP32
 15845    0.0 %         UntilizeWithUnpaddingDeviceOperation                17        10 μs         86 μs      1                                                       FP32 => FP32
 15868    0.0 %         UntilizeWithUnpaddingDeviceOperation                22        10 μs         95 μs      1                                                       FP32 => FP32
 15898    0.0 %         UntilizeWithUnpaddingDeviceOperation                31        10 μs         86 μs      1                                                       FP32 => FP32
 15927    0.0 %         UntilizeWithUnpaddingDeviceOperation                28        10 μs        106 μs      1                                                       FP32 => FP32
 15972    0.0 %         UntilizeWithUnpaddingDeviceOperation                18        10 μs         88 μs      1                                                       FP32 => FP32
 15989    0.0 %         UntilizeWithUnpaddingDeviceOperation                13        10 μs        101 μs      1                                                       FP32 => FP32
 16015    0.0 %         PermuteDeviceOperation                               4         2 μs        117 μs      1                                                       FP32 => FP32
 16048    0.0 %         PermuteDeviceOperation                               5         2 μs        137 μs      1                                                       FP32 => FP32
 16073    0.0 %         PermuteDeviceOperation                               2         2 μs        114 μs      1                                                       FP32 => FP32
 16126    0.0 %         PermuteDeviceOperation                              20         2 μs        118 μs      1                                                       FP32 => FP32
 16158    0.0 %         PermuteDeviceOperation                              20         2 μs        109 μs      1                                                       FP32 => FP32
 16182    0.0 %         PermuteDeviceOperation                              12         2 μs        115 μs      1                                                       FP32 => FP32
 16209    0.0 %         PermuteDeviceOperation                               6         2 μs        113 μs      1                                                       FP32 => FP32
 16238    0.0 %         PermuteDeviceOperation                               8         2 μs        126 μs      1                                                       FP32 => FP32
 16286    0.0 %         ConcatDeviceOperation                               20         1 μs        252 μs      8                                                 FP32, FP32 => FP32
 16296    0.0 %         PermuteDeviceOperation                               1         3 μs        161 μs      1                                                       FP32 => FP32
 16328    0.0 %         TilizeWithValPaddingDeviceOperation                  1         4 μs        144 μs      1                                                       FP32 => FP32
 16386    0.0 %         FillPadDeviceOperation                              27         7 μs        395 μs      1                                                       FP32 => FP32
 16417    0.0 %         ReduceDeviceOperation                               26         1 μs        149 μs      1                                                       FP32 => FP32
 16424    0.0 %         BinaryNgDeviceOperation                              1         4 μs        250 μs    120                                                 FP32, FP32 => FP32
 16465    0.0 %         BinaryNgDeviceOperation                              6         4 μs        236 μs    120                                                 FP32, FP32 => FP32
 16487    0.0 %         UnaryDeviceOperation                                 0         2 μs        232 μs    120                                                       FP32 => FP32
 16550    0.0 %         BinaryNgDeviceOperation                             16         8 μs        258 μs    120                                                 FP32, FP32 => FP32
 16560    0.0 %         BinaryNgDeviceOperation                              5        13 μs        233 μs    120                                                 FP32, FP32 => BF16
 16603    1.5 %         AllGatherDeviceOperation                             0        33 μs     86,047 μs     12                                                       BF16 => BF16
 16626    0.3 %   SLOW  MatmulDeviceOperation 128 x 896 x 4608               7        30 μs     17,652 μs     72  187 GB/s  36.4 %  35.6 TFLOPs   17.9 %  HiFi2 BF16 x BFP8 => BF16
 16667    1.8 %         ReduceScatterDeviceOperation                         0        80 μs    104,761 μs     12                                                       BF16 => BF16
 16699    1.8 %         AllGatherDeviceOperation                             0        59 μs    103,143 μs     12                                                       BF16 => BF16
 16721    0.3 %         TypecastDeviceOperation                              6        12 μs     18,246 μs    120                                                       BF16 => FP32
 16751    0.0 %   SLOW  MatmulDeviceOperation 128 x 896 x 4608               4        30 μs      1,165 μs     72  186 GB/s  36.4 %  35.6 TFLOPs   17.9 %  HiFi2 BF16 x BFP8 => BF16
 16795    0.0 %         ReduceScatterDeviceOperation                         0        89 μs        740 μs     12                                                       BF16 => BF16
 16827    0.0 %         AllGatherDeviceOperation                             0        54 μs        348 μs     12                                                       BF16 => BF16
 16851    0.0 %         TypecastDeviceOperation                             15        12 μs        130 μs    120                                                       BF16 => FP32
 16883    1.0 %         BinaryNgDeviceOperation                             15        20 μs     59,622 μs    120                                                 FP32, FP32 => BF16
 16920    0.3 %   SLOW  MatmulDeviceOperation 128 x 4608 x 896              29        93 μs     16,429 μs     28   60 GB/s  11.7 %  11.4 TFLOPs   14.8 %  HiFi2 BF16 x BFP8 => BF16
 16955    2.0 %         ReduceScatterDeviceOperation                         0        47 μs    117,968 μs     12                                                       BF16 => BF16
 16996    0.0 %         TypecastDeviceOperation                             18         2 μs      1,855 μs     28                                                       BF16 => FP32
 17009    0.0 %         BinaryNgDeviceOperation                              6         2 μs        283 μs    120                                                 FP32, FP32 => FP32
 17033    0.0 %         LayerNormPreAllGatherDeviceOperation                 0        15 μs        439 μs      1                                                       FP32 => FP32
 17087    0.0 %         SliceDeviceOperation                                21         1 μs        153 μs      1                                                       FP32 => FP32
 17097    0.0 %         AllBroadcastDeviceOperation                         16        72 μs        901 μs      2                                                       FP32 => FP32
 17129    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0        10 μs        134 μs      1                                                       FP32 => FP32
 17170    0.0 %         UntilizeWithUnpaddingDeviceOperation                 5        10 μs        103 μs      1                                                       FP32 => FP32
 17220    0.0 %         UntilizeWithUnpaddingDeviceOperation                27        10 μs        128 μs      1                                                       FP32 => FP32
 17244    0.0 %         UntilizeWithUnpaddingDeviceOperation                31        10 μs         94 μs      1                                                       FP32 => FP32
 17260    0.0 %         UntilizeWithUnpaddingDeviceOperation                 3        10 μs         84 μs      1                                                       FP32 => FP32
 17304    0.0 %         UntilizeWithUnpaddingDeviceOperation                12        10 μs         86 μs      1                                                       FP32 => FP32
 17334    0.0 %         UntilizeWithUnpaddingDeviceOperation                14        10 μs         86 μs      1                                                       FP32 => FP32
 17371    0.0 %         UntilizeWithUnpaddingDeviceOperation                30        10 μs         84 μs      1                                                       FP32 => FP32
 17389    0.0 %         PermuteDeviceOperation                              11         2 μs        112 μs      1                                                       FP32 => FP32
 17431    0.0 %         PermuteDeviceOperation                              13         2 μs        135 μs      1                                                       FP32 => FP32
 17466    0.0 %         PermuteDeviceOperation                              29         2 μs        121 μs      1                                                       FP32 => FP32
 17497    0.0 %         PermuteDeviceOperation                              28         2 μs        122 μs      1                                                       FP32 => FP32
 17518    0.0 %         PermuteDeviceOperation                              10         2 μs        116 μs      1                                                       FP32 => FP32
 17576    0.0 %         PermuteDeviceOperation                              16         2 μs        113 μs      1                                                       FP32 => FP32
 17587    0.0 %         PermuteDeviceOperation                               6         2 μs        111 μs      1                                                       FP32 => FP32
 17619    0.0 %         PermuteDeviceOperation                               6         2 μs        109 μs      1                                                       FP32 => FP32
 17661    0.0 %         ConcatDeviceOperation                               23         1 μs        241 μs      8                                                 FP32, FP32 => FP32
 17704    0.0 %         PermuteDeviceOperation                              16         3 μs        162 μs      1                                                       FP32 => FP32
 17734    0.0 %         TilizeWithValPaddingDeviceOperation                 18         4 μs        151 μs      1                                                       FP32 => FP32
 17749    0.0 %         FillPadDeviceOperation                              15         7 μs        385 μs      1                                                       FP32 => FP32
 17770    0.0 %         ReduceDeviceOperation                                1         1 μs        143 μs      1                                                       FP32 => FP32
 17807    0.0 %         BinaryNgDeviceOperation                              9         4 μs        237 μs    120                                                 FP32, FP32 => FP32
 17856    0.0 %         BinaryNgDeviceOperation                             20         4 μs        251 μs    120                                                 FP32, FP32 => FP32
 17879    0.0 %         UnaryDeviceOperation                                13         2 μs        217 μs    120                                                       FP32 => FP32
 17924    0.0 %         BinaryNgDeviceOperation                             27         9 μs        246 μs    120                                                 FP32, FP32 => FP32
 17944    0.0 %         BinaryNgDeviceOperation                             12        13 μs        219 μs    120                                                 FP32, FP32 => BF16
 17984    0.0 %   SLOW  MatmulDeviceOperation 32 x 896 x 2304               20        18 μs        205 μs     72  125 GB/s  24.3 %   7.2 TFLOPs    3.6 %  HiFi2 BF16 x BFP8 => BF16
 18013    0.0 %         AllGatherDeviceOperation                             0        64 μs        592 μs     12                                                       BF16 => BF16
 18049    0.0 %         FastReduceNCDeviceOperation                         24         5 μs        120 μs     72                                                       BF16 => BF16
 18065    0.0 %         SliceDeviceOperation                                 4         1 μs        169 μs     18                                                       BF16 => BF16
 18098    0.0 %         SliceDeviceOperation                                 5         1 μs        166 μs     48                                                       BF16 => BF16
 18143    0.0 %         SliceDeviceOperation                                21         1 μs        157 μs      4                                                       BF16 => BF16
 18175    0.0 %         TypecastDeviceOperation                             21         1 μs        150 μs      4                                                       BF16 => FP32
 18195    0.0 %         ReshapeViewDeviceOperation                           6         7 μs        168 μs    120                                                       FP32 => FP32
 18217    0.0 %         LayerNormDeviceOperation                             0         8 μs        178 μs     32                                                 FP32, BF16 => FP32
 18267    0.0 %         TypecastDeviceOperation                             30         3 μs        165 μs    120                                                       FP32 => BF16
 18287    0.0 %         SliceDeviceOperation                                 9         2 μs        154 μs     64                                                       BF16 => BF16
 18317    0.0 %         ReshapeViewDeviceOperation                          11         2 μs        130 μs     32                                                       BF16 => BF16
 18359    0.0 %         TransposeDeviceOperation                            13         1 μs        171 μs    120                                                       BF16 => BF16
 18382    0.0 %         ReshapeViewDeviceOperation                          10        52 μs        148 μs      2                                                       BF16 => BF16
 18438    0.0 %         RotaryEmbeddingLlamaDeviceOperation                 18         8 μs        140 μs    120                                                 BF16, BF16 => BF16
 18458    0.0 %         ReshapeViewDeviceOperation                          29         5 μs        148 μs     32                                                       BF16 => BF16
 18479    0.0 %         PermuteDeviceOperation                               9         1 μs        162 μs     32                                                       BF16 => BF16
 18533    0.0 %         ReshapeViewDeviceOperation                          19        15 μs        151 μs      2                                                       BF16 => BF16
 18558    0.0 %         SliceDeviceOperation                                22         1 μs        165 μs     64                                                       BF16 => BF16
 18597    0.0 %         ReshapeViewDeviceOperation                          19        19 μs        134 μs      2                                                       BF16 => BF16
 18624    0.0 %         ConcatDeviceOperation                               20         1 μs        141 μs      4                                                 BF16, BF16 => BF16
 18641    0.0 %   SLOW  MatmulDeviceOperation 32 x 128 x 128                 4         3 μs        202 μs      4   12 GB/s   2.4 %   0.4 TFLOPs    3.6 %  HiFi2 BF16 x BFP8 => BF16
 18670    0.0 %         ReshapeViewDeviceOperation                          10         5 μs        179 μs    120                                                       BF16 => BF16
 18716    0.0 %         InterleavedToShardedDeviceOperation                 31         1 μs        180 μs     32                                                       BF16 => BF16
 18735    0.0 %         PagedUpdateCacheDeviceOperation                      9         3 μs        141 μs     32                                                 BF16, BF16 => BF16
 18761    0.0 %         LayerNormDeviceOperation                             0        25 μs        165 μs      1                                                 BF16, BF16 => BF16
 18820    0.0 %   SLOW  MatmulDeviceOperation 32 x 1536 x 3072              27        36 μs        178 μs     96  140 GB/s  27.4 %   8.4 TFLOPs    3.2 %  HiFi2 BF16 x BFP8 => BF16
 18831    0.0 %         ReshapeViewDeviceOperation                           9        32 μs        129 μs    120                                                       BF16 => BF16
 18877    0.0 %         SliceDeviceOperation                                23         1 μs        143 μs    120                                                       BF16 => BF16
 18909    0.0 %         PermuteDeviceOperation                              23        33 μs        167 μs    120                                                       BF16 => BF16
 18947    0.0 %         ReshapeViewDeviceOperation                          26        16 μs        135 μs     64                                                       BF16 => BF16
 18979    0.0 %   SLOW  MatmulDeviceOperation b={16} x 32 x 128 x 512       26        27 μs        157 μs     16   39 GB/s   7.5 %   2.5 TFLOPs    5.6 %  HiFi2 BF16 x BFP8 => BF16
 19014    0.0 %         TransposeDeviceOperation                            18        13 μs        170 μs    120                                                       BF16 => BF16
 19033    0.0 %         SliceDeviceOperation                                28         1 μs        167 μs     16                                                       BF16 => BF16
 19062    0.0 %         ReshapeViewDeviceOperation                          14        13 μs        146 μs    120                                                       BF16 => BF16
 19093    0.0 %         LayerNormDeviceOperation                            15        12 μs        149 μs     32                                                 BF16, BF16 => BF16
 19117    0.0 %         InterleavedToShardedDeviceOperation                 11         4 μs        170 μs     32                                                       BF16 => BF16
 19174    0.0 %         PagedUpdateCacheDeviceOperation                     18         8 μs        104 μs     32                                                 BF16, BF16 => BF16
 19207    0.0 %         SliceDeviceOperation                                17         1 μs        164 μs     64                                                       BF16 => BF16
 19213    0.0 %         ReshapeViewDeviceOperation                          11         6 μs        150 μs     32                                                       BF16 => BF16
 19258    0.0 %         RotaryEmbeddingLlamaDeviceOperation                 29         8 μs        165 μs    120                                                 BF16, BF16 => BF16
 19277    0.0 %         ReshapeViewDeviceOperation                          11         3 μs        150 μs     64                                                       BF16 => BF16
