# #43562/3 raw-mm1 per-core check  (Q=0, pos8190, iter1)
# QK matmul output mm1 should be 0 (Q forced to 0). Tap = SDPA_MM1DIRECT_TAP -> mla_iter_dump
# tile 48, read back per flash_mla core. classification per core's 8x32 mm1 tile:
#   ZERO    = all elements exactly 0
#   UNIFORM = single constant across the whole tile (a per-row constant -> cancels in softmax)
#   NONUNIF = genuinely varying values (the real partial-mask signal)
# configs: MOVB2D = coherent mask-path DEST write (real fix); NOP100 = 100 NOPs, no DEST write

SUMMARY over 512 cores:
  MOVB2D : ZERO=448  UNIFORM=0  NONUNIF=64   max|mm1|=51.0000
       (0, 8, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 8, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 8, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 8, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 8, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 9, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 9, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 9, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 9, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 9, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 9, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 9, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (0, 9, 9) |          0.0000     ZERO |          0.9766  UNIFORM
      (0, 10, 0) |          0.0000     ZERO |          0.9766  UNIFORM
      (0, 10, 1) |          0.0000     ZERO |          0.9766  UNIFORM
      (0, 10, 2) |          0.0000     ZERO |          0.9766  UNIFORM
      (0, 10, 4) |          0.0000     ZERO |          0.9766  UNIFORM
      (0, 10, 5) |          0.0000     ZERO |          0.9766  UNIFORM
      (0, 10, 6) |          0.0000     ZERO |          0.9766  UNIFORM
      (0, 10, 7) |          0.0000     ZERO |          0.9766  UNIFORM
      (0, 10, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 0, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 0, 1) |          9.5000  NONUNIF |          0.9766  NONUNIF
       (1, 0, 2) |         51.0000  NONUNIF |          0.9766  NONUNIF
       (1, 0, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 0, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 0, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 0, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 0, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 1, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 1, 1) |         32.0000  NONUNIF |          0.9766  NONUNIF
       (1, 1, 2) |         48.0000  NONUNIF |          0.9766  NONUNIF
       (1, 1, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 1, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 1, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 1, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 1, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 2, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 2, 1) |         40.0000  NONUNIF |          0.9766  NONUNIF
       (1, 2, 2) |         10.1875  NONUNIF |          0.9766  NONUNIF
       (1, 2, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 2, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 2, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 2, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 2, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 3, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 3, 1) |         39.2500  NONUNIF |          0.9766  NONUNIF
       (1, 3, 2) |         41.0000  NONUNIF |          0.9766  NONUNIF
       (1, 3, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 3, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 3, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 3, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 3, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 7, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 7, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 7, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 7, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 7, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 7, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 7, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 7, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 8, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 8, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 8, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 8, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 8, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 8, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 8, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 8, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 9, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 9, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 9, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 9, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 9, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 9, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 9, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (1, 9, 9) |          0.0000     ZERO |          0.9766  UNIFORM
      (1, 10, 0) |          0.0000     ZERO |          0.9766  UNIFORM
      (1, 10, 1) |          0.0000     ZERO |          0.9766  UNIFORM
      (1, 10, 2) |          0.0000     ZERO |          0.9766  UNIFORM
      (1, 10, 4) |          0.0000     ZERO |          0.9766  UNIFORM
      (1, 10, 5) |          0.0000     ZERO |          0.9766  UNIFORM
      (1, 10, 6) |          0.0000     ZERO |          0.9766  UNIFORM
      (1, 10, 7) |          0.0000     ZERO |          0.9766  UNIFORM
      (1, 10, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 0, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 0, 1) |         42.5000  NONUNIF |          0.9766  NONUNIF
       (2, 0, 2) |          8.5000  NONUNIF |          0.9766  NONUNIF
       (2, 0, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 0, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 0, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 0, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 0, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 1, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 1, 1) |          6.9375  NONUNIF |          0.7930  NONUNIF
       (2, 1, 2) |         10.2500  NONUNIF |          0.9766  NONUNIF
       (2, 1, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 1, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 1, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 1, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 1, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 2, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 2, 1) |         11.8125  NONUNIF |          0.9766  NONUNIF
       (2, 2, 2) |         10.9375  NONUNIF |          0.9766  NONUNIF
       (2, 2, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 2, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 2, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 2, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 2, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 3, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 3, 1) |         33.0000  NONUNIF |          0.9766  NONUNIF
       (2, 3, 2) |         42.0000  NONUNIF |          0.9766  NONUNIF
       (2, 3, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 3, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 3, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 3, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 3, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 7, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 7, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 7, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 7, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 7, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 7, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 7, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 7, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 8, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 8, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 8, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 8, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 8, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 8, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 8, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 8, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 9, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 9, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 9, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 9, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 9, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 9, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 9, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (2, 9, 9) |          0.0000     ZERO |          0.9766  UNIFORM
      (2, 10, 0) |          0.0000     ZERO |          0.9766  UNIFORM
      (2, 10, 1) |          0.0000     ZERO |          0.9766  UNIFORM
      (2, 10, 2) |          0.0000     ZERO |          0.9766  UNIFORM
      (2, 10, 4) |          0.0000     ZERO |          0.9766  UNIFORM
      (2, 10, 5) |          0.0000     ZERO |          0.9766  UNIFORM
      (2, 10, 6) |          0.0000     ZERO |          0.9766  UNIFORM
      (2, 10, 7) |          0.0000     ZERO |          0.9766  UNIFORM
      (2, 10, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 0, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 0, 1) |         40.0000  NONUNIF |          0.9766  NONUNIF
       (3, 0, 2) |         35.5000  NONUNIF |          0.9766  NONUNIF
       (3, 0, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 0, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 0, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 0, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 0, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 1, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 1, 1) |         30.3750  NONUNIF |          0.9766  NONUNIF
       (3, 1, 2) |         42.0000  NONUNIF |          0.9766  NONUNIF
       (3, 1, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 1, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 1, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 1, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 1, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 2, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 2, 1) |         34.7500  NONUNIF |          0.9766  NONUNIF
       (3, 2, 2) |         43.7500  NONUNIF |          0.9766  NONUNIF
       (3, 2, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 2, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 2, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 2, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 2, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 3, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 3, 1) |          7.8438  NONUNIF |          0.9766  NONUNIF
       (3, 3, 2) |         49.5000  NONUNIF |          0.9766  NONUNIF
       (3, 3, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 3, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 3, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 3, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 3, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 7, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 7, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 7, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 7, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 7, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 7, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 7, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 7, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 8, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 8, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 8, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 8, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 8, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 8, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 8, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 8, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 9, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 9, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 9, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 9, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 9, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 9, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 9, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (3, 9, 9) |          0.0000     ZERO |          0.9766  UNIFORM
      (3, 10, 0) |          0.0000     ZERO |          0.9766  UNIFORM
      (3, 10, 1) |          0.0000     ZERO |          0.9766  UNIFORM
      (3, 10, 2) |          0.0000     ZERO |          0.9766  UNIFORM
      (3, 10, 4) |          0.0000     ZERO |          0.9766  UNIFORM
      (3, 10, 5) |          0.0000     ZERO |          0.9766  UNIFORM
      (3, 10, 6) |          0.0000     ZERO |          0.9766  UNIFORM
      (3, 10, 7) |          0.0000     ZERO |          0.9766  UNIFORM
      (3, 10, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 0, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 0, 1) |         40.2500  NONUNIF |          0.9766  NONUNIF
       (4, 0, 2) |         31.7500  NONUNIF |          0.9766  NONUNIF
       (4, 0, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 0, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 0, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 0, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 0, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 1, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 1, 1) |         14.3750  NONUNIF |          0.9766  NONUNIF
       (4, 1, 2) |         39.0000  NONUNIF |          0.9766  NONUNIF
       (4, 1, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 1, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 1, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 1, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 1, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 2, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 2, 1) |         10.6250  NONUNIF |          0.9766  NONUNIF
       (4, 2, 2) |         36.7500  NONUNIF |          0.8906  NONUNIF
       (4, 2, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 2, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 2, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 2, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 2, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 3, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 3, 1) |         47.5000  NONUNIF |          0.9766  NONUNIF
       (4, 3, 2) |         10.3125  NONUNIF |          0.9766  NONUNIF
       (4, 3, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 3, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 3, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 3, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 3, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 7, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 7, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 7, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 7, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 7, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 7, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 7, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 7, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 8, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 8, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 8, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 8, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 8, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 8, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 8, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 8, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 9, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 9, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 9, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 9, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 9, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 9, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 9, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (4, 9, 9) |          0.0000     ZERO |          0.9766  UNIFORM
      (4, 10, 0) |          0.0000     ZERO |          0.9766  UNIFORM
      (4, 10, 1) |          0.0000     ZERO |          0.9766  UNIFORM
      (4, 10, 2) |          0.0000     ZERO |          0.9766  UNIFORM
      (4, 10, 4) |          0.0000     ZERO |          0.9766  UNIFORM
      (4, 10, 5) |          0.0000     ZERO |          0.9766  UNIFORM
      (4, 10, 6) |          0.0000     ZERO |          0.9766  UNIFORM
      (4, 10, 7) |          0.0000     ZERO |          0.9766  UNIFORM
      (4, 10, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 0, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 0, 1) |         38.2500  NONUNIF |          0.9766  NONUNIF
       (5, 0, 2) |         49.0000  NONUNIF |          0.9766  NONUNIF
       (5, 0, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 0, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 0, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 0, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 0, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 1, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 1, 1) |         12.6875  NONUNIF |          0.9766  NONUNIF
       (5, 1, 2) |         35.5000  NONUNIF |          0.9766  NONUNIF
       (5, 1, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 1, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 1, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 1, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 1, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 2, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 2, 1) |          7.5625  NONUNIF |          0.9766  NONUNIF
       (5, 2, 2) |          6.8125  NONUNIF |          0.9766  NONUNIF
       (5, 2, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 2, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 2, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 2, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 2, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 3, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 3, 1) |         10.7500  NONUNIF |          0.3184  NONUNIF
       (5, 3, 2) |          7.0312  NONUNIF |          0.8555  NONUNIF
       (5, 3, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 3, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 3, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 3, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 3, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 7, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 7, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 7, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 7, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 7, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 7, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 7, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 7, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 8, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 8, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 8, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 8, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 8, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 8, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 8, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 8, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 9, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 9, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 9, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 9, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 9, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 9, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (5, 9, 7) |          0.0000     ZERO |          0.9766  UNIFORM
