activation,dtype,role,csv,coeff_csv,method,degree,segments,max_ulp,runtime_us,ttnn_maxulp,ttnn_us,dump_csv,plot_png,status
atan,fp32,ttnn,,,ttnn,,,2.0,5.11,2.0,5.11,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/atan/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/atan.png,ttnn_ref
atanh,fp32,fastest_min_ulp,atanh_n11d4_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/atanh_n11d4_s1_uniform_rational_ulp.csv,rational,11d4,1,19420.0,3.65,10029.0,4.79,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/atanh/fastest_min_ulp_atanh_n11d4_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/atanh.png,fallback_min_ulp
atanh,fp32,ttnn,,,ttnn,,,10029.0,4.79,10029.0,4.79,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/atanh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/atanh.png,ttnn_ref
cbrt,fp32,fastest_min_ulp,cbrt_p6_s4_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/cbrt_p6_s4_uniform_any_ulp.csv,exponent_alu_pow,6,4,3.0,5.84,2.0,3.41,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/cbrt/fastest_min_ulp_cbrt_p6_s4_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/cbrt.png,fallback_min_ulp
cbrt,fp32,ttnn,,,ttnn,,,2.0,3.41,2.0,3.41,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/cbrt/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/cbrt.png,ttnn_ref
celu,fp32,fastest_min_ulp,celu_p10_s2_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/celu_p10_s2_uniform_any_ulp.csv,poly,10,2,103.94,3.4,0.0625,4.4,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/celu/fastest_min_ulp_celu_p10_s2_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/celu.png,fallback_min_ulp
celu,fp32,ttnn,,,ttnn,,,0.0625,4.4,0.0625,4.4,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/celu/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/celu.png,ttnn_ref
cos,fp32,fastest_min_ulp,cos_n11d2_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/cos_n11d2_s1_uniform_rational_ulp.csv,trig,11d2,1,1.08,5.19,1.0,3.48,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/cos/fastest_min_ulp_cos_n11d2_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/cos.png,fallback_min_ulp
cos,fp32,ttnn,,,ttnn,,,1.0,3.48,1.0,3.48,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/cos/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/cos.png,ttnn_ref
cosh,fp32,fastest_min_ulp,cosh_n14d1_s2_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/cosh_n14d1_s2_uniform_rational_ulp.csv,rational,14d1,2,4.0,7.48,1.0,4.1,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/cosh/fastest_min_ulp_cosh_n14d1_s2_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/cosh.png,fallback_min_ulp
cosh,fp32,ttnn,,,ttnn,,,1.0,4.1,1.0,4.1,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/cosh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/cosh.png,ttnn_ref
digamma,fp32,fastest_ttnn_ulp_match,digamma_n4d4_s2_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/digamma_n4d4_s2_uniform_rational_ulp.csv,rational,4d4,2,22.94,5.4,79.0,12.17,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/digamma/fastest_ttnn_ulp_match_digamma_n4d4_s2_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/digamma.png,ttnn_ulp_match
digamma,fp32,ttnn,,,ttnn,,,79.0,12.17,79.0,12.17,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/digamma/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/digamma.png,ttnn_ref
elu,fp32,fastest_min_ulp,elu_p10_s2_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/elu_p10_s2_uniform_any_ulp.csv,poly,10,2,103.94,3.39,0.0625,4.38,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/elu/fastest_min_ulp_elu_p10_s2_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/elu.png,fallback_min_ulp
elu,fp32,ttnn,,,ttnn,,,0.0625,4.38,0.0625,4.38,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/elu/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/elu.png,ttnn_ref
erf,fp32,fastest_ttnn_ulp_match,erf_n15d15_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/erf_n15d15_s1_uniform_rational_ulp.csv,rational,15d15,1,3.5,4.68,3.5,5.49,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/erf/fastest_ttnn_ulp_match_erf_n15d15_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/erf.png,ttnn_ulp_match
erf,fp32,ttnn,,,ttnn,,,3.5,5.49,3.5,5.49,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/erf/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/erf.png,ttnn_ref
erfc,fp32,fastest_ttnn_ulp_match,erfc_p7_s4_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/erfc_p7_s4_uniform_any_ulp.csv,poly,7,4,9957.0,5.06,15979.5,5.99,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/erfc/fastest_ttnn_ulp_match_erfc_p7_s4_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/erfc.png,ttnn_ulp_match
erfc,fp32,ttnn,,,ttnn,,,15979.5,5.99,15979.5,5.99,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/erfc/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/erfc.png,ttnn_ref
erfinv,fp32,fastest_ttnn_ulp_match,erfinv_n6d5_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/erfinv_n6d5_s1_uniform_rational_ulp.csv,rational,6d5,1,17413.0,3.29,20560.0,6.52,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/erfinv/fastest_ttnn_ulp_match_erfinv_n6d5_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/erfinv.png,ttnn_ulp_match
erfinv,fp32,ttnn,,,ttnn,,,20560.0,6.52,20560.0,6.52,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/erfinv/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/erfinv.png,ttnn_ref
exp,fp32,fastest_min_ulp,exp_p5_s1_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/exp_p5_s1_uniform_any_ulp.csv,exp,5,1,2.0,4.41,1.0,4.02,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/exp/fastest_min_ulp_exp_p5_s1_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/exp.png,fallback_min_ulp
exp,fp32,ttnn,,,ttnn,,,1.0,4.02,1.0,4.02,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/exp/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/exp.png,ttnn_ref
exp2,fp32,fastest_min_ulp,exp2_n7d6_s2_uniform_rational_mae.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/exp2_n7d6_s2_uniform_rational_mae.csv,rational,7d6,2,9.0,6.72,0.5,3.59,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/exp2/fastest_min_ulp_exp2_n7d6_s2_uniform_rational_mae.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/exp2.png,fallback_min_ulp
exp2,fp32,ttnn,,,ttnn,,,0.5,3.59,0.5,3.59,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/exp2/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/exp2.png,ttnn_ref
expm1,fp32,fastest_min_ulp,expm1_p7_s1_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/expm1_p7_s1_uniform_any_ulp.csv,poly,7,1,6.0,3.12,1.0,4.5,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/expm1/fastest_min_ulp_expm1_p7_s1_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/expm1.png,fallback_min_ulp
expm1,fp32,ttnn,,,ttnn,,,1.0,4.5,1.0,4.5,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/expm1/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/expm1.png,ttnn_ref
gelu,fp32,fastest_min_ulp,gelu_p2_s32_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/gelu_p2_s32_uniform_any_ulp.csv,poly,2,32,1204.88,20.51,2.0,6.61,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/gelu/fastest_min_ulp_gelu_p2_s32_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/gelu.png,fallback_min_ulp
gelu,fp32,ttnn,,,ttnn,,,2.0,6.61,2.0,6.61,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/gelu/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/gelu.png,ttnn_ref
hardmish,fp32,fastest_ttnn_ulp_match,hardmish_p4_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardmish_p4_s3_uniform_any_ulp.csv,poly,4,3,0.0,3.06,0.03125,3.05,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/hardmish/fastest_ttnn_ulp_match_hardmish_p4_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardmish.png,ttnn_ulp_match
hardmish,fp32,ttnn,,,ttnn,,,0.03125,3.05,0.03125,3.05,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/hardmish/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardmish.png,ttnn_ref
hardshrink,fp32,fastest_ttnn_ulp_match,hardshrink_p1_s3_uniform_any_mae.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardshrink_p1_s3_uniform_any_mae.csv,poly,1,3,0.0,3.01,0.0,2.98,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/hardshrink/fastest_ttnn_ulp_match_hardshrink_p1_s3_uniform_any_mae.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardshrink.png,ttnn_ulp_match
hardshrink,fp32,ttnn,,,ttnn,,,0.0,2.98,0.0,2.98,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/hardshrink/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardshrink.png,ttnn_ref
hardsigmoid,fp32,fastest_ttnn_ulp_match,hardsigmoid_p1_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardsigmoid_p1_s3_uniform_any_ulp.csv,poly,1,3,0.5,3.05,0.5,3.05,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/hardsigmoid/fastest_ttnn_ulp_match_hardsigmoid_p1_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardsigmoid.png,ttnn_ulp_match
hardsigmoid,fp32,ttnn,,,ttnn,,,0.5,3.05,0.5,3.05,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/hardsigmoid/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardsigmoid.png,ttnn_ref
hardswish,fp32,fastest_ttnn_ulp_match,hardswish_p4_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardswish_p4_s3_uniform_any_ulp.csv,poly,4,3,0.25,3.05,0.25,3.3,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/hardswish/fastest_ttnn_ulp_match_hardswish_p4_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardswish.png,ttnn_ulp_match
hardswish,fp32,ttnn,,,ttnn,,,0.25,3.3,0.25,3.3,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/hardswish/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardswish.png,ttnn_ref
hardtanh,fp32,fastest_ttnn_ulp_match,hardtanh_p11_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardtanh_p11_s3_uniform_any_ulp.csv,poly,11,3,0.0,2.99,0.0,3.14,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/hardtanh/fastest_ttnn_ulp_match_hardtanh_p11_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardtanh.png,ttnn_ulp_match
hardtanh,fp32,ttnn,,,ttnn,,,0.0,3.14,0.0,3.14,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/hardtanh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/hardtanh.png,ttnn_ref
i0,fp32,fastest_ttnn_ulp_match,i0_p13_s1_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/i0_p13_s1_uniform_any_ulp.csv,poly,13,1,1183.0,3.35,2582.0,3.82,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/i0/fastest_ttnn_ulp_match_i0_p13_s1_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/i0.png,ttnn_ulp_match
i0,fp32,ttnn,,,ttnn,,,2582.0,3.82,2582.0,3.82,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/i0/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/i0.png,ttnn_ref
i1,fp32,fastest_ttnn_ulp_match,i1_n14d14_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/i1_n14d14_s1_uniform_rational_ulp.csv,rational,14d14,1,5.0,4.48,5.0,9.89,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/i1/fastest_ttnn_ulp_match_i1_n14d14_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/i1.png,ttnn_ulp_match
