dm	latent	label	sp	per_dev	q	k	chunk_size	d_v	duration_ms	util	cores	status
on	1	C7	8	640	160	800	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	224	5120	512	NA	NA	NA	OOM
on	1	C8	8	640	192	256	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	384	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	448	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	480	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	512	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	640	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	672	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	768	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	800	5120	512	NA	NA	NA	OOMskip
on	0	C1	8	640	32	224	5120	128	8.968	28.4	110	OK
on	0	C1	8	640	32	256	5120	128	8.823	28.9	110	OK
on	0	C1	8	640	32	384	5120	128	8.667	29.4	110	OK
on	0	C1	8	640	32	448	5120	128	8.417	30.3	110	OK
on	0	C1	8	640	32	480	5120	128	8.428	30.2	110	OK
on	0	C1	8	640	32	512	5120	128	8.379	30.4	110	OK
on	0	C1	8	640	32	640	5120	128	8.156	31.2	110	OK
on	0	C1	8	640	32	672	5120	128	8.531	29.9	110	OK
on	0	C1	8	640	32	768	5120	128	8.831	28.9	110	OK
on	0	C1	8	640	32	800	5120	128	8.282	30.8	110	OK
on	0	C2	4	1280	64	224	5120	128	8.874	57.4	110	OK
on	0	C2	4	1280	64	256	5120	128	8.749	58.3	110	OK
on	0	C2	4	1280	64	384	5120	128	8.557	59.6	110	OK
on	0	C2	4	1280	64	448	5120	128	8.498	60.0	110	OK
on	0	C2	4	1280	64	480	5120	128	8.676	58.7	110	OK
on	0	C2	4	1280	64	512	5120	128	8.487	60.1	110	OK
on	0	C2	4	1280	64	640	5120	128	8.334	61.2	110	OK
on	0	C2	4	1280	64	672	5120	128	8.278	61.6	110	OK
on	0	C2	4	1280	64	768	5120	128	NA	NA	NA	OOM
on	0	C2	4	1280	64	800	5120	128	NA	NA	NA	OOMskip
on	0	C3	4	1248	96	224	4992	128	7.902	61.3	110	OK
on	0	C3	4	1248	96	256	4992	128	7.752	62.5	110	OK
on	0	C3	4	1248	96	384	4992	128	8.283	58.5	110	OK
on	0	C3	4	1248	96	448	4992	128	7.313	66.3	110	OK
on	0	C3	4	1248	96	480	4992	128	7.408	65.4	110	OK
on	0	C3	4	1248	96	512	4992	128	7.235	67.0	110	OK
on	0	C3	4	1248	96	640	4992	128	NA	NA	NA	OOM
on	0	C3	4	1248	96	672	4992	128	NA	NA	NA	OOMskip
on	0	C3	4	1248	96	768	4992	128	NA	NA	NA	OOMskip
on	0	C3	4	1248	96	800	4992	128	NA	NA	NA	OOMskip
on	0	C4	8	640	128	224	5120	128	5.704	44.7	110	OK
on	0	C4	8	640	128	256	5120	128	5.451	46.8	110	OK
on	0	C4	8	640	128	384	5120	128	5.390	47.3	110	OK
on	0	C4	8	640	128	448	5120	128	6.094	41.8	110	OK
on	0	C4	8	640	128	480	5120	128	5.510	46.3	110	OK
on	0	C4	8	640	128	512	5120	128	5.427	47.0	110	OK
on	0	C4	8	640	128	640	5120	128	NA	NA	NA	OOM
on	0	C4	8	640	128	672	5120	128	NA	NA	NA	OOMskip
on	0	C4	8	640	128	768	5120	128	NA	NA	NA	OOMskip
on	0	C4	8	640	128	800	5120	128	NA	NA	NA	OOMskip
on	0	C5	8	640	64	224	5120	128	6.238	40.9	110	OK
on	0	C5	8	640	64	256	5120	128	6.299	40.5	110	OK
on	0	C5	8	640	64	384	5120	128	6.122	41.6	110	OK
on	0	C5	8	640	64	448	5120	128	5.716	44.6	110	OK
on	0	C5	8	640	64	480	5120	128	6.183	41.2	110	OK
on	0	C5	8	640	64	512	5120	128	5.982	42.6	110	OK
on	0	C5	8	640	64	640	5120	128	5.882	43.3	110	OK
on	0	C5	8	640	64	672	5120	128	5.790	44.0	110	OK
on	0	C5	8	640	64	768	5120	128	NA	NA	NA	OOM
on	0	C5	8	640	64	800	5120	128	NA	NA	NA	OOMskip
on	0	C6	8	640	96	224	5120	128	7.902	32.3	110	OK
on	0	C6	8	640	96	256	5120	128	7.717	33.0	110	OK
on	0	C6	8	640	96	384	5120	128	8.458	30.1	110	OK
on	0	C6	8	640	96	448	5120	128	7.208	35.4	110	OK
on	0	C6	8	640	96	480	5120	128	7.344	34.7	110	OK
on	0	C6	8	640	96	512	5120	128	7.147	35.7	110	OK
on	0	C6	8	640	96	640	5120	128	NA	NA	NA	OOM
on	0	C6	8	640	96	672	5120	128	NA	NA	NA	OOMskip
on	0	C6	8	640	96	768	5120	128	NA	NA	NA	OOMskip
on	0	C6	8	640	96	800	5120	128	NA	NA	NA	OOMskip
on	0	C7	8	640	160	224	5120	128	6.737	37.8	110	OK
on	0	C7	8	640	160	256	5120	128	6.618	38.5	110	OK
on	0	C7	8	640	160	384	5120	128	6.345	40.2	110	OK
on	0	C7	8	640	160	448	5120	128	6.327	40.3	110	OK
on	0	C7	8	640	160	480	5120	128	6.414	39.7	110	OK
on	0	C7	8	640	160	512	5120	128	6.311	40.4	110	OK
on	0	C7	8	640	160	640	5120	128	NA	NA	NA	OOM
on	0	C7	8	640	160	672	5120	128	NA	NA	NA	OOMskip
on	0	C7	8	640	160	768	5120	128	NA	NA	NA	OOMskip
on	0	C7	8	640	160	800	5120	128	NA	NA	NA	OOMskip
on	0	C8	8	640	192	224	5120	128	7.795	32.7	110	OK
on	0	C8	8	640	192	256	5120	128	7.427	34.3	110	OK
on	0	C8	8	640	192	384	5120	128	7.285	35.0	110	OK
on	0	C8	8	640	192	448	5120	128	7.310	34.9	110	OK
on	0	C8	8	640	192	480	5120	128	7.381	34.5	110	OK
on	0	C8	8	640	192	512	5120	128	NA	NA	NA	OOM
on	0	C8	8	640	192	640	5120	128	NA	NA	NA	OOMskip
on	0	C8	8	640	192	672	5120	128	NA	NA	NA	OOMskip
on	0	C8	8	640	192	768	5120	128	NA	NA	NA	OOMskip
on	0	C8	8	640	192	800	5120	128	NA	NA	NA	OOMskip
off	1	C1	8	640	32	224	5120	512	6.578	59.9	110	OK
off	1	C1	8	640	32	256	5120	512	6.396	61.6	110	OK
off	1	C1	8	640	32	384	5120	512	6.037	65.2	110	OK
off	1	C1	8	640	32	448	5120	512	5.884	66.9	110	OK
off	1	C1	8	640	32	480	5120	512	5.988	65.8	110	OK
off	1	C1	8	640	32	512	5120	512	5.794	68.0	110	OK
off	1	C1	8	640	32	640	5120	512	5.760	68.4	110	OK
off	1	C1	8	640	32	672	5120	512	NA	NA	NA	OOM
off	1	C1	8	640	32	768	5120	512	NA	NA	NA	OOMskip
off	1	C1	8	640	32	800	5120	512	NA	NA	NA	OOMskip
off	1	C2	4	1280	64	224	5120	512	11.793	66.8	110	OK
off	1	C2	4	1280	64	256	5120	512	12.260	64.3	110	OK
off	1	C2	4	1280	64	384	5120	512	11.790	66.8	110	OK
off	1	C2	4	1280	64	448	5120	512	10.579	74.5	110	OK
off	1	C2	4	1280	64	480	5120	512	11.886	66.3	110	OK
off	1	C2	4	1280	64	512	5120	512	NA	NA	NA	OOM
off	1	C2	4	1280	64	640	5120	512	NA	NA	NA	OOMskip
off	1	C2	4	1280	64	672	5120	512	NA	NA	NA	OOMskip
off	1	C2	4	1280	64	768	5120	512	NA	NA	NA	OOMskip
off	1	C2	4	1280	64	800	5120	512	NA	NA	NA	OOMskip
off	1	C3	4	1248	96	224	4992	512	11.265	66.5	110	OK
off	1	C3	4	1248	96	256	4992	512	10.999	68.1	110	OK
off	1	C3	4	1248	96	384	4992	512	11.496	65.1	110	OK
off	1	C3	4	1248	96	448	4992	512	NA	NA	NA	OOM
off	1	C3	4	1248	96	480	4992	512	NA	NA	NA	OOMskip
off	1	C3	4	1248	96	512	4992	512	NA	NA	NA	OOMskip
off	1	C3	4	1248	96	640	4992	512	NA	NA	NA	OOMskip
off	1	C3	4	1248	96	672	4992	512	NA	NA	NA	OOMskip
off	1	C3	4	1248	96	768	4992	512	NA	NA	NA	OOMskip
off	1	C3	4	1248	96	800	4992	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	224	5120	512	7.681	51.3	110	OK
off	1	C4	8	640	128	256	5120	512	7.332	53.7	110	OK
off	1	C4	8	640	128	384	5120	512	NA	NA	NA	OOM
off	1	C4	8	640	128	448	5120	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	480	5120	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	512	5120	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	640	5120	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	672	5120	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	768	5120	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	800	5120	512	NA	NA	NA	OOMskip
off	1	C5	8	640	64	224	5120	512	7.934	49.6	110	OK
off	1	C5	8	640	64	256	5120	512	8.253	47.7	110	OK
off	1	C5	8	640	64	384	5120	512	7.906	49.8	110	OK
off	1	C5	8	640	64	448	5120	512	7.073	55.7	110	OK
off	1	C5	8	640	64	480	5120	512	7.961	49.5	110	OK
off	1	C5	8	640	64	512	5120	512	NA	NA	NA	OOM
off	1	C5	8	640	64	640	5120	512	NA	NA	NA	OOMskip
off	1	C5	8	640	64	672	5120	512	NA	NA	NA	OOMskip
off	1	C5	8	640	64	768	5120	512	NA	NA	NA	OOMskip
off	1	C5	8	640	64	800	5120	512	NA	NA	NA	OOMskip
off	1	C6	8	640	96	224	5120	512	11.590	34.0	110	OK
off	1	C6	8	640	96	256	5120	512	11.312	34.8	110	OK
off	1	C6	8	640	96	384	5120	512	11.837	33.3	110	OK
off	1	C6	8	640	96	448	5120	512	NA	NA	NA	OOM
off	1	C6	8	640	96	480	5120	512	NA	NA	NA	OOMskip
off	1	C6	8	640	96	512	5120	512	NA	NA	NA	OOMskip
off	1	C6	8	640	96	640	5120	512	NA	NA	NA	OOMskip
off	1	C6	8	640	96	672	5120	512	NA	NA	NA	OOMskip
off	1	C6	8	640	96	768	5120	512	NA	NA	NA	OOMskip
off	1	C6	8	640	96	800	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	224	5120	512	9.577	41.1	110	OK
off	1	C7	8	640	160	256	5120	512	9.355	42.1	110	OK
off	1	C7	8	640	160	384	5120	512	NA	NA	NA	OOM
off	1	C7	8	640	160	448	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	480	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	512	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	640	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	672	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	768	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	800	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	224	5120	512	NA	NA	NA	OOM
off	1	C8	8	640	192	256	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	384	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	448	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	480	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	512	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	640	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	672	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	768	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	800	5120	512	NA	NA	NA	OOMskip
off	0	C1	8	640	32	224	5120	128	5.171	49.3	110	OK
off	0	C1	8	640	32	256	5120	128	5.060	50.4	110	OK
off	0	C1	8	640	32	384	5120	128	4.786	53.3	110	OK
off	0	C1	8	640	32	448	5120	128	4.754	53.6	110	OK
off	0	C1	8	640	32	480	5120	128	4.776	53.4	110	OK
off	0	C1	8	640	32	512	5120	128	4.742	53.7	110	OK
off	0	C1	8	640	32	640	5120	128	4.741	53.8	110	OK
off	0	C1	8	640	32	672	5120	128	4.746	53.7	110	OK
off	0	C1	8	640	32	768	5120	128	4.734	53.8	110	OK
off	0	C1	8	640	32	800	5120	128	4.740	53.8	110	OK
off	0	C2	4	1280	64	224	5120	128	8.069	63.2	110	OK
off	0	C2	4	1280	64	256	5120	128	8.468	60.2	110	OK
off	0	C2	4	1280	64	384	5120	128	8.224	62.0	110	OK
off	0	C2	4	1280	64	448	5120	128	7.376	69.1	110	OK
off	0	C2	4	1280	64	480	5120	128	8.344	61.1	110	OK
off	0	C2	4	1280	64	512	5120	128	8.085	63.0	110	OK
off	0	C2	4	1280	64	640	5120	128	7.978	63.9	110	OK
off	0	C2	4	1280	64	672	5120	128	7.275	70.1	110	OK
off	0	C2	4	1280	64	768	5120	128	NA	NA	NA	OOM
off	0	C2	4	1280	64	800	5120	128	NA	NA	NA	OOMskip
off	0	C3	4	1248	96	224	4992	128	7.641	63.4	110	OK
off	0	C3	4	1248	96	256	4992	128	7.513	64.5	110	OK
off	0	C3	4	1248	96	384	4992	128	8.037	60.3	110	OK
off	0	C3	4	1248	96	448	4992	128	7.062	68.6	110	OK
off	0	C3	4	1248	96	480	4992	128	7.169	67.6	110	OK
off	0	C3	4	1248	96	512	4992	128	7.026	69.0	110	OK
off	0	C3	4	1248	96	640	4992	128	NA	NA	NA	OOM
off	0	C3	4	1248	96	672	4992	128	NA	NA	NA	OOMskip
off	0	C3	4	1248	96	768	4992	128	NA	NA	NA	OOMskip
off	0	C3	4	1248	96	800	4992	128	NA	NA	NA	OOMskip
off	0	C4	8	640	128	224	5120	128	5.486	46.5	110	OK
off	0	C4	8	640	128	256	5120	128	5.217	48.9	110	OK
off	0	C4	8	640	128	384	5120	128	5.075	50.2	110	OK
off	0	C4	8	640	128	448	5120	128	5.704	44.7	110	OK
off	0	C4	8	640	128	480	5120	128	5.142	49.6	110	OK
off	0	C4	8	640	128	512	5120	128	4.998	51.0	110	OK
off	0	C4	8	640	128	640	5120	128	NA	NA	NA	OOM
off	0	C4	8	640	128	672	5120	128	NA	NA	NA	OOMskip
off	0	C4	8	640	128	768	5120	128	NA	NA	NA	OOMskip
off	0	C4	8	640	128	800	5120	128	NA	NA	NA	OOMskip
off	0	C5	8	640	64	224	5120	128	5.730	44.5	110	OK
off	0	C5	8	640	64	256	5120	128	6.048	42.1	110	OK
off	0	C5	8	640	64	384	5120	128	5.842	43.6	110	OK
off	0	C5	8	640	64	448	5120	128	5.171	49.3	110	OK
off	0	C5	8	640	64	480	5120	128	5.946	42.9	110	OK
off	0	C5	8	640	64	512	5120	128	5.736	44.4	110	OK
off	0	C5	8	640	64	640	5120	128	5.623	45.3	110	OK
off	0	C5	8	640	64	672	5120	128	5.139	49.6	110	OK
off	0	C5	8	640	64	768	5120	128	NA	NA	NA	OOM
off	0	C5	8	640	64	800	5120	128	NA	NA	NA	OOMskip
off	0	C6	8	640	96	224	5120	128	7.754	32.9	110	OK
off	0	C6	8	640	96	256	5120	128	7.581	33.6	110	OK
off	0	C6	8	640	96	384	5120	128	8.216	31.0	110	OK
off	0	C6	8	640	96	448	5120	128	7.055	36.1	110	OK
off	0	C6	8	640	96	480	5120	128	7.177	35.5	110	OK
off	0	C6	8	640	96	512	5120	128	6.973	36.5	110	OK
off	0	C6	8	640	96	640	5120	128	NA	NA	NA	OOM
off	0	C6	8	640	96	672	5120	128	NA	NA	NA	OOMskip
off	0	C6	8	640	96	768	5120	128	NA	NA	NA	OOMskip
off	0	C6	8	640	96	800	5120	128	NA	NA	NA	OOMskip
off	0	C7	8	640	160	224	5120	128	6.555	38.9	110	OK
off	0	C7	8	640	160	256	5120	128	6.422	39.7	110	OK
off	0	C7	8	640	160	384	5120	128	6.105	41.7	110	OK
off	0	C7	8	640	160	448	5120	128	6.033	42.2	110	OK
off	0	C7	8	640	160	480	5120	128	6.120	41.6	110	OK
off	0	C7	8	640	160	512	5120	128	5.959	42.8	110	OK
off	0	C7	8	640	160	640	5120	128	NA	NA	NA	OOM
off	0	C7	8	640	160	672	5120	128	NA	NA	NA	OOMskip
off	0	C7	8	640	160	768	5120	128	NA	NA	NA	OOMskip
off	0	C7	8	640	160	800	5120	128	NA	NA	NA	OOMskip
off	0	C8	8	640	192	224	5120	128	7.606	33.5	110	OK
off	0	C8	8	640	192	256	5120	128	7.232	35.2	110	OK
off	0	C8	8	640	192	384	5120	128	7.045	36.2	110	OK
off	0	C8	8	640	192	448	5120	128	6.992	36.5	110	OK
off	0	C8	8	640	192	480	5120	128	7.096	35.9	110	OK
off	0	C8	8	640	192	512	5120	128	NA	NA	NA	OOM
off	0	C8	8	640	192	640	5120	128	NA	NA	NA	OOMskip
off	0	C8	8	640	192	672	5120	128	NA	NA	NA	OOMskip
off	0	C8	8	640	192	768	5120	128	NA	NA	NA	OOMskip
off	0	C8	8	640	192	800	5120	128	NA	NA	NA	OOMskip
