source_path,accounting_group,roles,evidence_lines,condition
ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_fused_writer.cpp,Dataflow entries using a shared header,dataflow kernel calling shared scaler setup,111,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_scalar_setup.hpp,Additional direct dataflow consumer files,old dataflow helper consumer,44; 45,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/compute/rms_compute.cpp,Original compute/host inventory,compute helper consumer,182; 191; 220,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/dataflow/rms_writer.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,77; 86; 91,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/rms_allgather_program_factory.cpp,Original compute/host inventory,host factory,828,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/attn_res_gather_softmax_program_factory.cpp,Original compute/host inventory,host factory,373,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/compute/attn_res_gather_softmax.cpp,Original compute/host inventory,compute helper consumer,108,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/dataflow/reader_attn_res_gather_softmax.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,70,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/indexer_score/device/indexer_score_program_factory.cpp,Original compute/host inventory,host factory,369,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/compute_indexer_score.cpp,Original compute/host inventory,compute helper consumer,597,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/reader_indexer_score.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,501,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/indexer_score/device/ring_indexer_score_dsa_program_factory.cpp,Original compute/host inventory,host factory,471,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/compute/prepare_chunk_recurrence.cpp,Original compute/host inventory,compute helper consumer,398,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/kernels/dataflow/reader_prepare_chunk_recurrence.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,113,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/kda/prepare_chunk_recurrence/device/prepare_chunk_recurrence_program_factory.cpp,Original compute/host inventory,host factory,233,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/compute/sigmoid_gated_rms_norm.cpp,Original compute/host inventory,compute helper consumer,136,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/dataflow/reader_sigmoid_gated_rms_norm.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,23,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/sigmoid_gated_rms_norm_program_factory.cpp,Original compute/host inventory,host factory,144,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce.cpp,Original compute/host inventory,compute helper consumer,21,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_metal2.cpp,Original compute/host inventory,compute helper consumer,29,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/compute/reduce_rm.cpp,Original compute/host inventory,compute helper consumer,47; 69,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_rm.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,73,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,22,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id_metal2.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,25,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_interleaved_input_cols_partitioned_sharded.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,30,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,46,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned_metal2.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,41,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_h_program_factory.cpp,Original compute/host inventory,host factory,168,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_multi_core_w_program_factory.cpp,Original compute/host inventory,host factory,254,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/reduce_op_single_core_hw_program_factory.cpp,Original compute/host inventory,host factory,162,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/reduction/generic/device/welford_reduce_program_factory.cpp,Additional host/test builder files,host factory,325,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/joint_sdpa_program_factory.cpp,Additional host/test builder files,host factory,468,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/kernels/dataflow/joint_writer.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,49,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/kernels/dataflow/writer_interleaved.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,109,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa/device/sdpa_program_factory.cpp,Additional host/test builder files,host factory,1563,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa_decode/device/kernels/dataflow/writer_decode_all.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,228,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/quasar/transformer/sdpa_decode/device/sdpa_decode_program_factory.cpp,Additional host/test builder files,host factory,1077,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/deepseek_grouped_gate_program_factory.cpp,Original compute/host inventory,host factory,299,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/compute/deepseek_grouped_gate.cpp,Original compute/host inventory,compute helper consumer,315,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/reduction/deepseek_grouped_gate/device/kernels/dataflow/writer_deepseek_grouped_gate.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,465,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/hc_sum_reduce_program_factory.cpp,Original compute/host inventory,host factory,153,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/reader_ssm_1d_sum_reduce.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,24,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp,Original compute/host inventory,compute helper consumer,59,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/transformer/dit_layernorm_pre_all_gather/device/dit_layernorm_pre_all_gather_welford_program_factory.cpp,Additional host/test builder files,host factory,86,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/transformer/dit_layernorm_pre_all_gather/device/kernels/dataflow/reader_layernorm_preallgather_dit.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,28,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/fused_rmsnorm_post_all_gather_program_factory.cpp,Original compute/host inventory,host factory,243,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/fused_rmsnorm_pre_all_gather_program_factory.cpp,Original compute/host inventory,host factory,123,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_post_allgather.cpp,Original compute/host inventory,compute helper consumer,92,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp,Original compute/host inventory,compute helper consumer,81,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/dataflow/rms_post_allgather_reader.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,85,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/dataflow/rms_pre_allgather_reader.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,37,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/kernels/moreh_clip_grad_norm_step1_kernel.cpp,Original compute/host inventory,compute helper consumer,152,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/kernels/reader_moreh_clip_grad_norm_step1.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,36,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/moreh_clip_grad_norm_step1_program_factory.cpp,Original compute/host inventory,host factory,34,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp,Original compute/host inventory,compute helper consumer,46; 58,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/reader_moreh_dot.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,69,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/moreh_dot_program_factory.cpp,Original compute/host inventory,host factory,23,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_group_norm/device/kernels/dataflow/reader_moreh_group_norm_large.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,58,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_group_norm/device/kernels/dataflow/reader_moreh_group_norm_small.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,58,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_group_norm/device/moreh_group_norm_program_factory.cpp,Original compute/host inventory,host factory,251,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_group_norm_backward/device/gamma_beta_grad/kernels/dataflow/reader_moreh_group_norm_backward_gamma_beta_grad.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,55,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_group_norm_backward/device/gamma_beta_grad/moreh_group_norm_backward_gamma_beta_grad_factory.cpp,Original compute/host inventory,host factory,289,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_group_norm_backward/device/input_grad/kernels/dataflow/reader_moreh_group_norm_backward_input_grad_large.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,51,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_group_norm_backward/device/input_grad/kernels/dataflow/reader_moreh_group_norm_backward_input_grad_small.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,51,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_group_norm_backward/device/input_grad/moreh_group_norm_backward_input_grad_factory.cpp,Original compute/host inventory,host factory,303,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp,Original compute/host inventory,compute helper consumer,181; 330,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp,Original compute/host inventory,compute helper consumer,188; 312,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/reader_moreh_layer_norm_large.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,53,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/reader_moreh_layer_norm_small.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,53,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/moreh_layer_norm_program_factory.cpp,Original compute/host inventory,host factory,282,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp,Original compute/host inventory,compute helper consumer,303; 328,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp,Original compute/host inventory,compute helper consumer,340; 345,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp,Original compute/host inventory,compute helper consumer,307; 370,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/reader_moreh_layer_norm_backward_gamma_beta_grad.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,129,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/reader_moreh_layer_norm_backward_input_grad_large.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,132,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/reader_moreh_layer_norm_backward_input_grad_small.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,132,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/moreh_layer_norm_backward_gamma_beta_grad_program_factory.cpp,Original compute/host inventory,host factory,286,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/moreh_layer_norm_backward_input_grad_program_factory.cpp,Original compute/host inventory,host factory,330,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp,Original compute/host inventory,compute helper consumer,93; 96; 101; 104,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp,Original compute/host inventory,compute helper consumer,103; 106; 111; 114,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/reader_moreh_bias_backward_h.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,23,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/reader_moreh_bias_backward_hw.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,25,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/moreh_linear_backward_multi_core_program_factory.cpp,Original compute/host inventory,host factory,246,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/moreh_linear_backward_single_core_program_factory.cpp,Original compute/host inventory,host factory,294,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp,Original compute/host inventory,compute helper consumer,50; 77; 85,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/reader_moreh_mean_h.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,28,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/moreh_mean_h_program_factory.cpp,Original compute/host inventory,host factory,256,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp,Original compute/host inventory,compute helper consumer,152,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp,Original compute/host inventory,compute helper consumer,152,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp,Original compute/host inventory,compute helper consumer,130,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_h/kernels/reader_moreh_norm_h.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,24,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_program_factory_h_other.cpp,Original compute/host inventory,host factory,237,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_program_factory_w_other.cpp,Original compute/host inventory,host factory,242,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp,Original compute/host inventory,compute helper consumer,129,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_w/kernels/reader_moreh_norm_w.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,23,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp,Original compute/host inventory,compute helper consumer,54; 57; 67; 125; 141,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp,Original compute/host inventory,compute helper consumer,47; 51; 57; 108; 124,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp,Original compute/host inventory,compute helper consumer,54; 60; 73; 131; 147,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp,Original compute/host inventory,compute helper consumer,50; 54; 59; 111; 127,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_h.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,36; 38,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_h_large.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,36; 38,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_w.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,36; 38,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/reader_moreh_softmax_w_large.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,36; 38,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/softmax_h_large/softmax_h_large.cpp,Original compute/host inventory,host factory,223,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/softmax_h_small/softmax_h_small.cpp,Original compute/host inventory,host factory,228,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/softmax_w_large/softmax_w_large.cpp,Original compute/host inventory,host factory,233,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/softmax_w_small/softmax_w_small.cpp,Original compute/host inventory,host factory,238,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp,Original compute/host inventory,compute helper consumer,37; 43; 57; 93,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h_large.cpp,Original compute/host inventory,compute helper consumer,55; 90,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp,Original compute/host inventory,compute helper consumer,37; 43; 57; 93,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w_large.cpp,Original compute/host inventory,compute helper consumer,55; 88,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/reader_moreh_softmax_backward_h.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,30,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/reader_moreh_softmax_backward_h_large.cpp,Additional manual auxiliary producers,manual reduction auxiliary producer,30,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/reader_moreh_softmax_backward_w.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,28,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/reader_moreh_softmax_backward_w_large.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,28,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/softmax_backward_h_large/softmax_backward_h_large.cpp,Original compute/host inventory,host factory,134,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/softmax_backward_h_small/softmax_backward_h_small.cpp,Original compute/host inventory,host factory,127,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/softmax_backward_w_large/softmax_backward_w_large.cpp,Original compute/host inventory,host factory,133,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/softmax_backward_w_small/softmax_backward_w_small.cpp,Original compute/host inventory,host factory,126,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/moreh_sum_h.cpp,Original compute/host inventory,compute helper consumer,45; 75; 83,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/reader_moreh_sum_h.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,28,Migration review candidate
ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_program_factory.cpp,Original compute/host inventory,host factory,276,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/groupnorm/device/groupnorm_mcast_program_factory.cpp,Original compute/host inventory,host factory,737,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/groupnorm/device/groupnorm_no_mcast_program_factory.cpp,Original compute/host inventory,host factory,932,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/groupnorm/device/groupnorm_sharded_program_factory.cpp,Original compute/host inventory,host factory,841,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp,Original compute/host inventory,compute helper consumer,386; 402; 550; 564,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp,Original compute/host inventory,compute helper consumer,363; 367; 502; 507,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/dataflow/writer_unary_gn_rm_gb.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,258; 264; 275,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/dataflow/writer_unary_sharded_gn_rm_gb_v2.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,232; 237; 265,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp,Original compute/host inventory,compute helper consumer,268; 412,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp,Original compute/host inventory,compute helper consumer,176; 190; 257,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_unary_interleaved_ln.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,116; 123,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_unary_interleaved_ln_large_tensor.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,106; 113,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_unary_interleaved_ln_rm_gb.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,79; 88,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,65; 80,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_pre_all_gather.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,18; 35,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_rm_gb.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,68; 83,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/layernorm_op_multi_core.cpp,Additional host/test builder files,host factory,630,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/layernorm_op_multi_core_sharded.cpp,Original compute/host inventory,host factory,228,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm/device/sharded_layernorm_factory_helpers.cpp,Original compute/host inventory,shared host builder,488,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather.cpp,Original compute/host inventory,compute helper consumer,112; 127,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather_2d.cpp,Original compute/host inventory,compute helper consumer,115,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/dataflow/reader_layernorm_preallgather_2d.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,58,Migration review candidate
