source_id,source_path,kernel_label,pattern_id,pattern,static_helper_call_sites,call_ids,factory_ids,uses_accumulate_api,loop_carried_helper_result,runtime_calls_and_unit,state_and_branches,evidence_source_lines
S052,ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp,HC/SSM sum reduction,single,One helper call per independent reduction,1,R180,F053,False,False,1 call per slice: TILE_WIDTH (32) calls per assembled output tile; repeated for input_num_blocks_h × num_blocks outputs.,Each call reduces a distinct transposed slice. The writer assembles the reduced slices into a tile; no running sum is carried between the 32 helper invocations.,ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp:50; ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp:59; ttnn/cpp/ttnn/operations/experimental/ssm/hc_sum_reduce/device/kernels/ssm_1d_sum_reduce.cpp:69
S054,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_post_allgather.cpp,Fused distributed RMSNorm — post-all-gather,single,One helper call per independent reduction,1,R187,F055,False,False,1 call per tile row; num_tile_rows_to_process calls per kernel.,"One bulk AVG over stats_tiles_cols gathered partial-statistic tiles, freshly reduced for each row.",ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_post_allgather.cpp:82; ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_post_allgather.cpp:92
S055,ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp,Fused distributed RMSNorm — pre-all-gather,single,One helper call per independent reduction,1,R188,F056,False,False,1 call per tile row; num_tile_rows_to_process calls per kernel.,"An inner loop squares input tiles and accumulates them with L1 packing. After that loop, one helper collapses the accumulated tile. The helper itself is not repeatedly accumulated.",ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp:38; ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp:50; ttnn/cpp/ttnn/operations/experimental/transformer/fused_distributed_rmsnorm/device/kernels/compute/rmsnorm_pre_allgather.cpp:81
S056,ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/kernels/moreh_clip_grad_norm_step1_kernel.cpp,Moreh clip-grad norm — step 1,single,One helper call per independent reduction,1,R189,F057,False,False,"1 call per kernel invocation, for its assigned gradient tensor contribution.",The num_tiles loop builds a running sum of powers manually in cb_xpowadd. One helper subsequently reduces that single accumulated tile to a scalar.,ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/kernels/moreh_clip_grad_norm_step1_kernel.cpp:69; ttnn/cpp/ttnn/operations/moreh/moreh_clip_grad_norm/moreh_clip_grad_norm_step1/device/kernels/moreh_clip_grad_norm_step1_kernel.cpp:152
S057,ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp,Moreh dot,loop-api,Loop accumulation using Accumulate,2,R190; R191,F058,True,True,per_core_block_cnt calls per local dot result.,"Each block multiplies an input pair, then reduces its product tile. Accumulate::at(dfb::im1, block) carries the dot sum; block starts at zero. Final/output and intermediate/accumulator sites are alternatives.",ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp:22; ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp:46; ttnn/cpp/ttnn/operations/moreh/moreh_dot/device/kernels/moreh_dot.cpp:58
S058,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp,Moreh layer/group norm — large,stages,Multiple statistics or reduction stages,2,R192; R193,F059; F062,False,False,2 calls per normalization row/group; 2 × num_rows_per_core per kernel.,"Separate mean and centered-variance reductions, each over a single tile produced by manual cross-tile accumulation. The inner tile loops precede the helper; no reduced result is carried from one helper invocation into another.",ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp:89; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp:181; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_large_kernel.cpp:330
S059,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp,Moreh layer/group norm — small,stages,Multiple statistics or reduction stages,2,R194; R195,F059; F062,False,False,2 calls per normalization row/group; 2 × num_rows_per_core per kernel.,"Separate mean and centered-variance reductions, each over a single tile produced by manual cross-tile accumulation. The inner tile loops precede the helper; no reduced result is carried from one helper invocation into another.",ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp:92; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp:188; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm/device/kernels/moreh_layer_norm_small_kernel.cpp:312
S060,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp,Moreh layer/group norm backward — gamma/beta,stages,Multiple statistics or reduction stages,2,R196; R197,F060; F063,False,False,Up to 2 calls per local output column: one for each enabled gamma/beta gradient. 0 when neither is_lastdim_layernorm nor is_groupnorm.,"Enabled gamma and beta reductions consume distinct manually accumulated y × dy and dy tiles. For the other normalization layout, the source copies those tiles instead of invoking a helper. No cross-call accumulator.",ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp:93; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp:299; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_gamma_beta_grad_kernel.cpp:324
S061,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp,Moreh layer/group norm backward input — large,stages,Multiple statistics or reduction stages,2,R198; R199,F061; F064,False,False,2 calls per local normalized row; 2 × NCHt per kernel.,Separate sum(dy) and sum(y × dy) reductions after manual tile accumulation. Both start a fresh helper reduction; their results are used together to calculate the input gradient.,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp:84; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp:340; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_large_kernel.cpp:345
S062,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp,Moreh layer/group norm backward input — small,stages,Multiple statistics or reduction stages,2,R200; R201,F061; F064,False,False,2 calls per local normalized row; 2 × NCHt per kernel.,Separate sum(dy) and sum(y × dy) reductions after manual tile accumulation. Both start a fresh helper reduction; their results are used together to calculate the input gradient.,ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp:85; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp:307; ttnn/cpp/ttnn/operations/moreh/moreh_layer_norm_backward/device/kernels/moreh_layer_norm_backward_input_grad_small_kernel.cpp:370
S063,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp,Moreh bias backward — multi-core H,loop-api,Loop accumulation using Accumulate,4,R202; R203; R204; R205,F065,True,True,batch_num × Ht calls per output width tile; repeated Wt_per_core times.,"reduce_accum aliases Accumulate::at(dfb::intermed1, num_tile_done). num_tile_done resets for every width tile. Four sites select masked/unmasked input and final/intermediate output; only one runs per input tile.",ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp:35; ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp:90; ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_multi_core_h.cpp:93
S064,ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp,Moreh bias backward — single-core HW,loop-api,Loop accumulation using Accumulate,4,R206; R207; R208; R209,F066,True,True,batch_num × Ht × Wt calls for the scalar bias gradient.,"reduce_accum aliases Accumulate::at(dfb::intermed1, num_tile_done). The counter starts before the batch/H/W loops and spans the whole tensor. Four masked/final alternatives implement one invocation per input tile.",ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp:44; ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp:100; ttnn/cpp/ttnn/operations/moreh/moreh_linear_backward/device/kernels/moreh_bias_backward_single_core_hw.cpp:103
S065,ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp,Moreh mean H,pair-api,Fixed prefix and tail using Accumulate,3,R210; R211; R212,F067,True,False,"1 call when Ht=1, otherwise 2 calls per NC/width column.","For Ht>1, a single bulk call reduces the first Ht−1 tiles into dfb::accum_dst. One masked/unmasked tail call writes the output using Accumulate::at(dfb::accum_dst, Ht==1 ? 0 : 1). The three sites are prefix plus two alternative tails; the outer column loop starts a fresh result.",ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp:44; ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp:50; ttnn/cpp/ttnn/operations/moreh/moreh_mean/device/kernels/moreh_mean_h.cpp:77
S066,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp,"Moreh norm H — legacy, no host reference",single,One helper call per independent reduction,1,R213,,False,False,1 call per local output column.,The inner tile loop accumulates powers manually; the helper is called once after that loop to collapse the accumulated tile. There is no carry between helper invocations for different output units.,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp:77; ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp:152
S067,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp,"Moreh norm W — legacy, no host reference",single,One helper call per independent reduction,1,R214,,False,False,1 call per local output row.,The inner tile loop accumulates powers manually; the helper is called once after that loop to collapse the accumulated tile. There is no carry between helper invocations for different output units.,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp:77; ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp:152
S068,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp,Moreh norm H — ord_other,single,One helper call per independent reduction,1,R215,F068,False,False,1 call per local output column.,The inner tile loop accumulates powers manually; the helper is called once after that loop to collapse the accumulated tile. There is no carry between helper invocations for different output units.,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp:41; ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_h/kernels/moreh_norm_h_kernel.cpp:130
S069,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp,Moreh norm W — ord_other,single,One helper call per independent reduction,1,R216,F069,False,False,1 call per local output row.,The inner tile loop accumulates powers manually; the helper is called once after that loop to collapse the accumulated tile. There is no carry between helper invocations for different output units.,ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp:42; ttnn/cpp/ttnn/operations/moreh/moreh_norm/device/ord_other/moreh_norm_w/kernels/moreh_norm_w_kernel.cpp:129
S070,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp,Moreh softmax H,pair-api,Fixed prefix and tail using Accumulate,5,R217; R218; R219; R220; R221,F071; F091,True,False,"2 calls when Ht=1, otherwise 3 per height reduction work item; N items.","MAX uses either one single-tile call or a bulk prefix plus masked tail with Accumulate::at(dfb_max, 1). SUM is a separate statistic with one log/reciprocal alternative. One bulk SUM helper reduces the exponential tiles. Five static sites do not run five times per item.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp:49; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp:67; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h.cpp:125
S071,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp,Moreh softmax H — large,pair-api,Fixed prefix and tail using Accumulate,5,R222; R223; R224; R225; R226,F070; F090,True,False,"2 calls when Ht=1, otherwise 3 per height reduction work item; N items.","MAX uses either one single-tile call or a bulk prefix plus masked tail with Accumulate::at(dfb_max, 1). SUM is a separate statistic with one log/reciprocal alternative. The exponential tiles are manually summed first; one helper collapses the accumulated tile. Five static sites do not run five times per item.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp:42; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp:57; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_h_large.cpp:108
S072,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp,Moreh softmax W,pair-api,Fixed prefix and tail using Accumulate,5,R227; R228; R229; R230; R231,F073; F093,True,False,"2 calls when Wt=1, otherwise 3 per width reduction work item; N items.","MAX uses either one single-tile call or a bulk prefix plus masked tail with Accumulate::at(dfb_max, 1). SUM is a separate statistic with one log/reciprocal alternative. One bulk SUM helper reduces the exponential tiles. Five static sites do not run five times per item.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp:49; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp:73; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w.cpp:131
S073,ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp,Moreh softmax W — large,pair-api,Fixed prefix and tail using Accumulate,5,R232; R233; R234; R235; R236,F072; F092,True,False,"2 calls when Wt=1, otherwise 3 per width reduction work item; N items.","MAX uses either one single-tile call or a bulk prefix plus masked tail with Accumulate::at(dfb_max, 1). SUM is a separate statistic with one log/reciprocal alternative. The exponential tiles are manually summed first; one helper collapses the accumulated tile. Five static sites do not run five times per item.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp:45; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp:59; ttnn/cpp/ttnn/operations/moreh/moreh_softmax/device/kernels/moreh_softmax_w_large.cpp:111
S074,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp,Moreh softmax backward H,pair-manual,Fixed prefix and tail combined manually,4,R237; R238; R239; R240,F075,False,False,"LOG: 1 call if Ht=1, otherwise 2 per item. Non-LOG: 1 per item. N items.","LOG reduces an unmasked prefix and masked last tile separately, then add_tiles_to_cb combines their outputs. No Accumulate is passed. The non-LOG branch makes one bulk sum(y × dy) reduction instead. Each item starts fresh.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp:29; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp:37; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp:57; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp:93
S075,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h_large.cpp,Moreh softmax backward H — large,single,One helper call per independent reduction,2,R241; R242,F074,False,False,1 call per work item; N calls per kernel.,LOG and non-LOG sites are compile-time alternatives. Each branch manually accumulates tiles before one helper reduction (sum(dy) or sum(y × dy)). No helper-result carry across the tile loop.,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h_large.cpp:30; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h_large.cpp:55; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h_large.cpp:90
S076,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp,Moreh softmax backward W,pair-manual,Fixed prefix and tail combined manually,4,R243; R244; R245; R246,F077,False,False,"LOG: 1 call if Wt=1, otherwise 2 per item. Non-LOG: 1 per item. N items.","LOG reduces an unmasked prefix and masked last tile separately, then add_tiles_to_cb combines their outputs. No Accumulate is passed. The non-LOG branch makes one bulk sum(y × dy) reduction instead. Each item starts fresh.",ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp:29; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp:37; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp:57; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp:93
S077,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w_large.cpp,Moreh softmax backward W — large,single,One helper call per independent reduction,2,R247; R248,F076,False,False,1 call per work item; N calls per kernel.,LOG and non-LOG sites are compile-time alternatives. Each branch manually accumulates tiles before one helper reduction (sum(dy) or sum(y × dy)). No helper-result carry across the tile loop.,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w_large.cpp:30; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w_large.cpp:55; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w_large.cpp:88
