activation,dtype,role,csv,coeff_csv,method,degree,segments,max_ulp,runtime_us,ttnn_maxulp,ttnn_us,dump_csv,plot_png,status
atan,bf16,fastest_ttnn_ulp_match,atan_p7_s1_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/atan_p7_s1_uniform_any_ulp.csv,poly,7,1,0.5,1.97,0.5,3.91,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/atan/fastest_ttnn_ulp_match_atan_p7_s1_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/atan.png,ttnn_ulp_match
atan,bf16,ttnn,,,ttnn,,,0.5,3.91,0.5,3.91,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/atan/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/atan.png,ttnn_ref
atanh,bf16,fastest_ttnn_ulp_match,atanh_n5d5_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/atanh_n5d5_s1_uniform_rational_ulp.csv,rational,5d5,1,1.0,2.54,1.0,4.26,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/atanh/fastest_ttnn_ulp_match_atanh_n5d5_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/atanh.png,ttnn_ulp_match
atanh,bf16,ttnn,,,ttnn,,,1.0,4.26,1.0,4.26,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/atanh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/atanh.png,ttnn_ref
cbrt,bf16,fastest_ttnn_ulp_match,cbrt_p1_s16_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/cbrt_p1_s16_uniform_any_ulp.csv,exponent_alu_pow,1,16,1.0,4.41,1.0,2.14,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/cbrt/fastest_ttnn_ulp_match_cbrt_p1_s16_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/cbrt.png,ttnn_ulp_match
cbrt,bf16,ttnn,,,ttnn,,,1.0,2.14,1.0,2.14,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/cbrt/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/cbrt.png,ttnn_ref
celu,bf16,fastest_ttnn_ulp_match,celu_p11_s2_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/celu_p11_s2_uniform_any_ulp.csv,poly,11,2,0.0,2.74,0.0,3.61,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/celu/fastest_ttnn_ulp_match_celu_p11_s2_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/celu.png,ttnn_ulp_match
celu,bf16,ttnn,,,ttnn,,,0.0,3.61,0.0,3.61,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/celu/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/celu.png,ttnn_ref
cos,bf16,fastest_ttnn_ulp_match,cos_n6d4_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/cos_n6d4_s1_uniform_rational_ulp.csv,trig,6d4,1,0.0,4.05,0.0,2.56,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/cos/fastest_ttnn_ulp_match_cos_n6d4_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/cos.png,ttnn_ulp_match
cos,bf16,ttnn,,,ttnn,,,0.0,2.56,0.0,2.56,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/cos/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/cos.png,ttnn_ref
cosh,bf16,fastest_ttnn_ulp_match,cosh_p16_s1_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/cosh_p16_s1_uniform_any_ulp.csv,poly,16,1,0.0,3.01,0.0001220703125,2.97,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/cosh/fastest_ttnn_ulp_match_cosh_p16_s1_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/cosh.png,ttnn_ulp_match
cosh,bf16,ttnn,,,ttnn,,,0.0001220703125,2.97,0.0001220703125,2.97,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/cosh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/cosh.png,ttnn_ref
digamma,bf16,fastest_ttnn_ulp_match,digamma_n4d3_s1_uniform_rational_max.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/digamma_n4d3_s1_uniform_rational_max.csv,rational,4d3,1,1.0,2.93,1.0,6.64,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/digamma/fastest_ttnn_ulp_match_digamma_n4d3_s1_uniform_rational_max.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/digamma.png,ttnn_ulp_match
digamma,bf16,ttnn,,,ttnn,,,1.0,6.64,1.0,6.64,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/digamma/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/digamma.png,ttnn_ref
elu,bf16,fastest_ttnn_ulp_match,elu_p13_s2_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/elu_p13_s2_uniform_any_ulp.csv,poly,13,2,0.0,2.75,0.0,3.6,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/elu/fastest_ttnn_ulp_match_elu_p13_s2_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/elu.png,ttnn_ulp_match
elu,bf16,ttnn,,,ttnn,,,0.0,3.6,0.0,3.6,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/elu/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/elu.png,ttnn_ref
erf,bf16,fastest_ttnn_ulp_match,erf_n7d6_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/erf_n7d6_s1_uniform_rational_ulp.csv,rational,7d6,1,0.5,2.87,0.5,3.63,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/erf/fastest_ttnn_ulp_match_erf_n7d6_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/erf.png,ttnn_ulp_match
erf,bf16,ttnn,,,ttnn,,,0.5,3.63,0.5,3.63,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/erf/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/erf.png,ttnn_ref
erfc,bf16,fastest_ttnn_ulp_match,erfc_p6_s4_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/erfc_p6_s4_uniform_any_ulp.csv,poly,6,4,0.5,4.19,0.5,5.45,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/erfc/fastest_ttnn_ulp_match_erfc_p6_s4_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/erfc.png,ttnn_ulp_match
erfc,bf16,ttnn,,,ttnn,,,0.5,5.45,0.5,5.45,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/erfc/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/erfc.png,ttnn_ref
erfinv,bf16,fastest_ttnn_ulp_match,erfinv_n4d4_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/erfinv_n4d4_s1_uniform_rational_ulp.csv,rational,4d4,1,1.0,2.38,1.0,5.96,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/erfinv/fastest_ttnn_ulp_match_erfinv_n4d4_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/erfinv.png,ttnn_ulp_match
erfinv,bf16,ttnn,,,ttnn,,,1.0,5.96,1.0,5.96,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/erfinv/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/erfinv.png,ttnn_ref
exp,bf16,fastest_ttnn_ulp_match,exp_p2_s1_uniform_fpminimax_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/exp_p2_s1_uniform_fpminimax_ulp.csv,exponent_alu_exp2,2,1,1.0,1.94,1.0,1.9,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/exp/fastest_ttnn_ulp_match_exp_p2_s1_uniform_fpminimax_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/exp.png,ttnn_ulp_match
exp,bf16,ttnn,,,ttnn,,,1.0,1.9,1.0,1.9,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/exp/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/exp.png,ttnn_ref
exp2,bf16,fastest_ttnn_ulp_match,exp2_p2_s1_uniform_fpminimax_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/exp2_p2_s1_uniform_fpminimax_ulp.csv,exponent_alu_exp2,2,1,0.5,1.94,0.5,2.52,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/exp2/fastest_ttnn_ulp_match_exp2_p2_s1_uniform_fpminimax_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/exp2.png,ttnn_ulp_match
exp2,bf16,ttnn,,,ttnn,,,0.5,2.52,0.5,2.52,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/exp2/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/exp2.png,ttnn_ref
expm1,bf16,fastest_ttnn_ulp_match,expm1_p7_s1_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/expm1_p7_s1_uniform_any_ulp.csv,poly,7,1,0.0,2.02,0.0,2.92,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/expm1/fastest_ttnn_ulp_match_expm1_p7_s1_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/expm1.png,ttnn_ulp_match
expm1,bf16,ttnn,,,ttnn,,,0.0,2.92,0.0,2.92,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/expm1/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/expm1.png,ttnn_ref
gelu,bf16,fastest_ttnn_ulp_match,gelu_p2_s16_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/gelu_p2_s16_uniform_any_ulp.csv,poly,2,16,0.12,11.8,0.125,5.78,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/gelu/fastest_ttnn_ulp_match_gelu_p2_s16_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/gelu.png,ttnn_ulp_match
gelu,bf16,ttnn,,,ttnn,,,0.125,5.78,0.125,5.78,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/gelu/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/gelu.png,ttnn_ref
hardmish,bf16,fastest_ttnn_ulp_match,hardmish_p2_s3_uniform_any_max.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardmish_p2_s3_uniform_any_max.csv,poly,2,3,0.0,2.01,0.03125,1.77,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/hardmish/fastest_ttnn_ulp_match_hardmish_p2_s3_uniform_any_max.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardmish.png,ttnn_ulp_match
hardmish,bf16,ttnn,,,ttnn,,,0.03125,1.77,0.03125,1.77,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/hardmish/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardmish.png,ttnn_ref
hardshrink,bf16,fastest_min_ulp,hardshrink_p1_s2_uniform_any_max.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardshrink_p1_s2_uniform_any_max.csv,poly,1,2,7.31,1.88,0.0,1.82,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/hardshrink/fastest_min_ulp_hardshrink_p1_s2_uniform_any_max.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardshrink.png,fallback_min_ulp
hardshrink,bf16,ttnn,,,ttnn,,,0.0,1.82,0.0,1.82,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/hardshrink/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardshrink.png,ttnn_ref
hardsigmoid,bf16,fastest_ttnn_ulp_match,hardsigmoid_p3_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardsigmoid_p3_s3_uniform_any_ulp.csv,poly,3,3,0.5,1.98,0.5,1.79,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/hardsigmoid/fastest_ttnn_ulp_match_hardsigmoid_p3_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardsigmoid.png,ttnn_ulp_match
hardsigmoid,bf16,ttnn,,,ttnn,,,0.5,1.79,0.5,1.79,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/hardsigmoid/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardsigmoid.png,ttnn_ref
hardswish,bf16,fastest_ttnn_ulp_match,hardswish_p2_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardswish_p2_s3_uniform_any_ulp.csv,poly,2,3,0.02,2.08,0.25,2.01,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/hardswish/fastest_ttnn_ulp_match_hardswish_p2_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardswish.png,ttnn_ulp_match
hardswish,bf16,ttnn,,,ttnn,,,0.25,2.01,0.25,2.01,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/hardswish/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardswish.png,ttnn_ref
hardtanh,bf16,fastest_ttnn_ulp_match,hardtanh_p4_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/hardtanh_p4_s3_uniform_any_ulp.csv,poly,4,3,0.0,1.85,0.0,1.86,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/hardtanh/fastest_ttnn_ulp_match_hardtanh_p4_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardtanh.png,ttnn_ulp_match
hardtanh,bf16,ttnn,,,ttnn,,,0.0,1.86,0.0,1.86,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/hardtanh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/hardtanh.png,ttnn_ref
i0,bf16,fastest_ttnn_ulp_match,i0_p10_s1_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/i0_p10_s1_uniform_any_ulp.csv,poly,10,1,0.25,2.36,1.0,3.1,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/frontier/bf16/i0/fastest_ttnn_ulp_match_i0_p10_s1_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/i0.png,ttnn_ulp_match
i0,bf16,ttnn,,,ttnn,,,1.0,3.1,1.0,3.1,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/data/dumps/ttnn/bf16/i0/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/bf16/plots/ulp_by_input/bf16/i0.png,ttnn_ref
