# Correctness log — tests/test_multichip_decoder.py, 4-die P300_X2 mesh
# command: pytest models/autoports/qwen_qwen3_coder_30b_a3b_instruct/tests/test_multichip_decoder.py -q
# result:  38 passed in 186.11s
# Every PCC quoted in README.md and work_log.md is a line of this file.

test_multichip_decoder:test_baseline_upload_is_actually_replicated | replicated single-chip baseline: max spread across 4 dies = 0.000e+00
test_multichip_decoder:test_multichip_prefill_is_deterministic | multichip prefill: 3 runs bit-identical on all 4 dies
test_multichip_decoder:test_multichip_prefill_vs_hf | multichip prefill S=128 vs HF: 0.9990883578961901
test_multichip_decoder:test_multichip_prefill_vs_hf | multichip prefill S=33 vs HF: 0.9989603338857946
test_multichip_decoder:test_multichip_prefill_vs_single_chip | multichip prefill S=100 vs single-chip TTNN: 0.9998680715538794
test_multichip_decoder:test_multichip_prefill_vs_single_chip | multichip prefill S=128 vs single-chip TTNN: 0.9998520985932086
test_multichip_decoder:test_multichip_prefill_vs_single_chip | multichip prefill S=257 vs single-chip TTNN: 0.9997130463493856
test_multichip_decoder:test_multichip_prefill_vs_single_chip | multichip prefill S=32 vs single-chip TTNN: 0.999726173883768
test_multichip_decoder:test_multichip_prefill_vs_single_chip | multichip prefill S=33 vs single-chip TTNN: 0.9997335206043321
test_multichip_decoder:test_multichip_prefill_vs_single_chip | multichip prefill S=512 vs single-chip TTNN: 0.999620460949962
test_multichip_decoder:test_no_runtime_fallbacks | multichip fallback audit at batch 1: {'batch': 1, 'dram_sharded_qkv': (2048, 1280), 'dram_sharded_wo': (1024, 2048), 'dram_sharded_taken': True, 'gate_up_in0_block_w': 16, 'down_in0_block_w': 12, 'expert_intermediate_buffer': 'L1', 'local_heads': (8, 1), 'local_experts': 32}
test_multichip_decoder:test_no_runtime_fallbacks | multichip fallback audit at batch 32: {'batch': 32, 'dram_sharded_qkv': (2048, 1280), 'dram_sharded_wo': (1024, 2048), 'dram_sharded_taken': True, 'gate_up_in0_block_w': 16, 'down_in0_block_w': 12, 'expert_intermediate_buffer': 'DRAM', 'local_heads': (8, 1), 'local_experts': 32}
test_multichip_decoder:test_repo_default_topology_is_wrong_for_this_mesh | multichip_decoder overrides default_topology (callable: default_topology)
test_multichip_decoder:test_router_windows_partition_global_routing | router windows seq=128: max |stitched - global| = 0.000e+00
test_multichip_decoder:test_router_windows_partition_global_routing | router windows seq=1: max |stitched - global| = 0.000e+00
test_multichip_decoder:test_router_windows_partition_global_routing | router windows seq=33: max |stitched - global| = 0.000e+00
test_multichip_decoder:test_stacked_layer_io_contract | two stacked multichip layers vs two stacked single-chip layers: 0.9994464888290773
test_multichip_decoder:test_topk_is_identical_across_dies | topk seed=0: 4 dies bit-identical over 1024 selections
test_multichip_decoder:test_topk_is_identical_across_dies | topk seed=1: 4 dies bit-identical over 1024 selections
test_multichip_decoder:test_topk_is_identical_across_dies | topk seed=2: 4 dies bit-identical over 1024 selections
test_multichip_decoder:test_topk_is_identical_across_dies | topk seed=3: 4 dies bit-identical over 1024 selections
test_multichip_decoder:test_topk_is_identical_across_dies | topk seed=4: 4 dies bit-identical over 1024 selections
test_multichip_decoder:test_topk_is_identical_across_dies | topk seed=5: 4 dies bit-identical over 1024 selections
test_multichip_decoder:test_topk_is_identical_across_dies | topk seed=6: 4 dies bit-identical over 1024 selections
test_multichip_decoder:test_topk_is_identical_across_dies | topk seed=7: 4 dies bit-identical over 1024 selections
test_multichip_decoder:test_wqkv_column_split_is_head_interleaved | wqkv head-interleaved split verified for 4 dies, per-die N = 1280
